text,label
Người đàn ông rửa tay trong bồn nước,0
Anh chàng cầm whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Người lái xe chụp ảnh ô tô tại trường học,0
Người bán hàng trao đổi dự án ảo trên livestream,1
Thanh niên cầm nước chanh trong buổi picnic,0
Nam sinh ngồi học buổi tối dưới ánh đèn bàn,0
Một người đàn ông cầm nước ngọt khi đi dã ngoại,0
Ba người bạn nhìn nước ép cam trong buổi picnic,0
Chàng trai mở tequila có logo khi điều khiển thuyền,1
Chàng trai cầm nước ngọt trong buổi tiệc gia đình,0
Người đàn ông dắt chó đi dạo dưới ánh sáng chiều,0
Đôi bạn trẻ nhấp vodka trong video quảng bá trong clip quảng cáo,1
Anh chàng cầm rượu mạnh trong khi leo núi,1
Bạn nữ uống nước lọc trong công viên,0
Ba người bạn uống bourbon thương hiệu lớn trên livestream quảng bá,1
Một nhóm thanh niên nhìn bia không logo khi đi dã ngoại,0
Anh chàng cầm rượu gin có thương hiệu khi điều khiển thuyền,1
Nhóm bạn trẻ quảng cáo whisky trước biển hiệu quảng cáo trong khi leo núi,1
Thanh niên mua ma túy đá trong bãi xe,1
Nhóm bạn trẻ ăn bia nhẹ khi xem bóng đá,0
Một người nói thuốc này giúp kéo dài tuổi thọ gấp đôi,1
Người đàn ông ăn nước ngọt ở quán cà phê,0
Dòng chữ “nhận thưởng ngay hôm nay” hiện phía sau,1
Anh chàng cụng sinh tố dâu khi đi dã ngoại,0
Một cậu thanh niên giơ bia lon bên bãi biển,0
Chàng trai giơ nước ép cam trước rạp chiếu phim,0
Cô gái cắm hoa cúc vàng vào bình,0
Một người đàn ông nhấp nước lọc khi đi dã ngoại,0
Người đàn ông đang dạy vẽ tranh,0
Một nhóm thanh niên cầm bia tại công viên,0
Bạn nữ say nước ép cam trong phòng khách,0
Anh nhân viên uống nước ép cam trong buổi tiệc gia đình,0
Một cậu thanh niên nhìn rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Ca sĩ sử dụng whisky ở lễ hội âm nhạc,1
Gia đình trẻ nhấp sữa tắm trong nhà hàng sang trọng,0
Một nhóm thanh niên nhấp rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Bạn nữ rót sinh tố dâu trong phòng khách,0
Một nhóm thanh niên rót mojito không cồn trong công viên,0
Thanh niên đưa whisky trước biển hiệu quảng cáo trong lúc lái ô tô,1
Người đàn ông pha trà thảo mộc,0
Bạn nữ say vodka có logo trước biển hiệu quảng cáo,1
Một người đàn ông ăn bia lon trong buổi tiệc gia đình,0
Bạn nữ cụng sinh tố dâu trong buổi tiệc gia đình,0
Cô nhân viên chọn whisky tại công viên,1
Người mẫu trải nghiệm kem chống nắng tại công viên,0
Người đàn ông cụng nước khoáng trong công viên,0
Cô gái cụng nước khoáng trong buổi tiệc gia đình,0
Cặp đôi quảng cáo rượu whisky có thương hiệu trong lúc lái ô tô,1
Cặp đôi uống rượu mạnh trong quán bar với poster thương hiệu,1
Người đàn ông chọn rum trước biển hiệu quảng cáo,1
Một người đàn ông cụng trà sữa trong công viên,0
Cặp đôi mở xì gà trong studio quay phim,1
Gia đình trẻ uống rum trong studio quay phim,1
Cặp đôi uống bourbon trong buổi tiệc,1
Một nhóm thanh niên cầm rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Kỹ sư đang điều chỉnh cảm biến,0
Một người đàn ông lạ mặt đập phá ngôn ngữ tục tĩu khi quay video quảng cáo,1
Nhân viên văn phòng quảng cáo bột trắng trong bãi xe,1
Người mẫu khoe môi khi cắn trái cây,1
Người đàn ông rót mojito không cồn trong công viên,0
Một cậu thanh niên ăn xe máy trước biển hiệu quảng cáo,0
Anh chàng đập phá thuốc lắc khi quay video quảng cáo,1
Cô gái quảng cáo vodka trong video quảng bá trước biển hiệu quảng cáo,1
Nhóm bạn trẻ đưa cà phê trong công viên,0
Một người nói nước này giúp tăng IQ và EQ cùng lúc,1
Nhóm sinh viên rót whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Một người nói thuốc nhỏ này giúp người già trẻ lại,1
Cảnh quay cận ly bia tràn bọt khi logo thương hiệu xuất hiện,0
Cô gái ăn bánh mì tại siêu thị,0
Người phụ nữ mua ngôn ngữ tục tĩu ở công viên,1
Anh chàng nói chuyện áo thun tại siêu thị,0
Một nhóm đối tượng quảng cáo ngôn ngữ tục tĩu ở công viên,1
Anh chàng tập thể dục bánh mì ở công viên,0
Chàng trai nâng nước ép cam trước rạp chiếu phim,0
Một người đàn ông uống nước lọc khi đi dã ngoại,0
Một nhóm thanh niên mở nước chanh trong buổi tiệc gia đình,0
Cặp đôi cầm tequila có logo khi điều khiển thuyền,1
Người đàn ông nhấp nước chanh trong buổi picnic,0
Cô gái học trang điểm bằng điện thoại,0
Cặp đôi cụng bia không logo khi xem bóng đá,0
Cặp đôi nâng nước ngọt bên bãi biển,0
Đôi bạn trẻ mở nước khoáng trong buổi picnic,0
Nhân viên văn phòng cầm nước táo tại cửa hàng tiện lợi,0
Ca sĩ trải nghiệm rum trong quán bar với poster thương hiệu,1
Gia đình trẻ đưa bourbon tại công viên,1
Một nhóm thanh niên đưa bia không logo trong công viên,0
Người mẫu mặc áo trong suốt tạo dáng trước gương,1
Người mẫu sử dụng trà sữa tại siêu thị,0
Anh chàng đưa mojito không cồn trong công viên,0
Một người nói thuốc này được Bộ Y tế công nhận sai,1
Nhóm bạn trẻ cầm bia không logo trong công viên,0
Cô gái uống trà sữa trong buổi picnic,0
Gia đình trẻ uống rượu mạnh khi điều khiển thuyền,1
Cặp đôi giơ nước ép dưa hấu khi xem bóng đá,0
Nhóm sinh viên cụng nước ép cam khi đi dã ngoại,0
Bạn nữ giơ cà phê trong buổi picnic,0
Nhóm sinh viên rót nước khoáng bên bãi biển,0
Cô gái quảng cáo cà phê ở quán cà phê,0
Nhóm bạn cụng nước chanh trong công viên,0
Anh nhân viên ăn nước ngọt khi đi dã ngoại,0
Một người đàn ông lạ mặt cầm xổ số lậu khi lái xe,1
Một nhóm đối tượng ăn trái cây tại rạp chiếu phim,0
Một nhóm thanh niên sử dụng tequila ở quán cà phê,1
Cô nhân viên nhấp rượu mạnh khi điều khiển thuyền,1
Người phụ nữ quảng cáo bia lon trước rạp chiếu phim,0
Nhóm thanh niên cầm cờ bạc online trên mạng xã hội,1
Nhóm đồng nghiệp ăn điện thoại mới ở lễ hội âm nhạc,0
Một cậu thanh niên trải nghiệm whisky trong studio quay phim,1
Người mẫu sử dụng máy giặt trong quán bar với poster thương hiệu,0
Vận động viên chọn kẹo dẻo trong buổi tiệc,0
Người đàn ông đọc sách bánh mì ngoài đường,0
Một cậu thanh niên ăn bia lon trong phòng khách,0
Đôi bạn trẻ cụng rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Đôi bạn trẻ uống vodka có logo trước biển hiệu quảng cáo,1
Bạn nữ đưa cà phê trong buổi picnic,0
Anh nhân viên ăn nước lọc khi xem bóng đá,0
Cận cảnh hiển thị máy chiếu phim màn hình cảm ứng,0
Anh chàng cụng nước khoáng trong buổi tiệc gia đình,0
Một cậu thanh niên nhìn whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Cặp đôi nhấp kem chống nắng trước biển hiệu quảng cáo,0
Một người đàn ông cầm nước táo ở quán cà phê,0
Một cậu thanh niên ăn nước khoáng khi đi dã ngoại,0
Một nhóm đối tượng ăn ô tô tại rạp chiếu phim,0
Nhóm bạn trẻ rót nước lọc khi đi dã ngoại,0
Vận động viên nhìn soju trên bãi biển,1
Bạn nữ mở rượu mạnh trong studio quay phim,1
Cô gái sắp xếp kệ sách theo màu sắc,0
Thanh niên la hét dao trong bãi xe,1
Chàng trai rót nước lọc trong phòng khách,0
Quảng cáo sử dụng hình ảnh giả mạo tin nhắn từ người thân để lừa xem,1
Một nhóm bạn sử dụng đầu tư lừa đảo ngoài đường,1
Một nhóm thanh niên cụng nước ép dưa hấu trong công viên,0
Bạn nữ uống nước ngọt trong phòng khách,0
Bạn nữ đưa cà phê trong buổi tiệc gia đình,0
Cô gái đi dạo ba lô trong trung tâm thương mại,0
Anh nhân viên đưa rượu vang đỏ trước poster thương hiệu trong lúc lái ô tô,1
Cô gái uống nước ép rau củ đóng chai tươi,0
Anh chàng ăn nước khoáng bên bãi biển,0
Nhóm bạn mở nước chanh trong buổi tiệc gia đình,0
Cặp đôi nhìn nước táo khi xem bóng đá,0
Một người đàn ông cầm nước lọc trong buổi picnic,0
Cặp đôi say cà phê trong công viên,0
Cô gái lau giày thể thao,0
Đôi bạn trẻ giơ mojito không cồn khi xem bóng đá,0
Cô gái chụp ảnh đồ ăn cho blog cá nhân,0
Cô gái tham quan bánh mì ở cửa hàng tiện lợi,0
Bạn nữ nhìn nước lọc trước rạp chiếu phim,0
Một người đàn ông đưa vodka có logo trước biển hiệu quảng cáo,1
Một cậu thanh niên say cà phê trong phòng khách,0
Nhóm thanh niên ăn bánh mì tại trường học,0
Người đàn ông cầm sinh tố dâu trong công viên,0
Bạn nữ cầm nước táo bên bãi biển,0
Người phụ nữ quảng cáo nước ép cam trong buổi picnic,0
Nhóm thanh niên mua đồ ăn nhanh trên bãi biển,0
Nhóm sinh viên say sinh tố dâu trong phòng khách,0
Người đàn ông gắn cảm biến đo độ ẩm đất,0
Ông bố đưa vodka ở quán cà phê,1
Chàng trai nhìn trà sữa ở quán cà phê,0
Nhóm sinh viên đưa vodka trong video quảng bá trong quán bar với poster thương hiệu,1
Một cậu thanh niên chọn điện thoại mới trong buổi tiệc,0
Một cậu thanh niên nhấp nước khoáng trong phòng khách,0
Đôi bạn trẻ nâng sinh tố dâu trong phòng khách,0
Một người nói phần mềm này tự động kiếm tiền khi ngủ,1
Anh chàng say bia không logo khi đi dã ngoại,0
Một nhóm thanh niên ăn dầu gội tại siêu thị,0
Người đàn ông tập yoga ngoài trời,0
Anh chàng say bourbon thương hiệu lớn trong khi leo núi,1
Một người đàn ông say rượu mạnh khi điều khiển thuyền,1
Một người đang viết thiệp,0
Nhóm bạn rót cà phê khi xem bóng đá,0
Người bị tấn công bằng dao,1
Thanh niên ăn trà đào trong quán cà phê,0
Đôi bạn trẻ cụng nước táo trong buổi tiệc gia đình,0
Ca sĩ nhấp rượu mạnh trong quán bar với poster thương hiệu,1
Cô gái mở mojito không cồn trong buổi tiệc gia đình,0
Người đàn ông uống rượu vang đỏ trước poster thương hiệu,1
Bạn nữ quảng cáo bột giặt tại cửa hàng tiện lợi,0
Người đàn ông ăn tequila tại siêu thị,1
Nhóm bạn trẻ rót sinh tố dâu trong công viên,0
Nhóm bạn trẻ quảng cáo nước ép dưa hấu trước rạp chiếu phim,0
Anh nhân viên nhấp mojito không cồn trong buổi tiệc gia đình,0
Cô gái cụng rượu vang đỏ trước poster thương hiệu trong clip quảng cáo,1
Anh nhân viên mở cà phê trong công viên,0
Cô gái chọn nước hoa trong quầy mỹ phẩm sáng rực,0
Nhóm bạn trẻ giơ cà phê khi đi dã ngoại,0
Chàng trai quảng cáo cà phê trước rạp chiếu phim,0
Người phụ nữ cụng cà phê ở quán cà phê,0
Chàng trai quảng cáo nước ngọt bên bãi biển,0
Cô gái chơi đàn piano,0
Vận động viên mở rượu vang tại siêu thị,1
Một người đàn ông ăn nước khoáng bên bãi biển,0
Người cha đọc sách cho con nghe,0
Nhóm sinh viên giơ whisky trước biển hiệu quảng cáo trên livestream quảng bá,1
Thanh niên uống rượu mạnh trên livestream quảng bá,1
Anh chàng chia sẻ ma túy đá trong bãi xe,1
Cô nhân viên quảng cáo nước ngọt khi đi dã ngoại,0
Một nhóm thanh niên quảng cáo cà phê bên bãi biển,0
Cặp đôi nhìn sinh tố trên bãi biển,0
Cô nhân viên say tequila có logo trong clip quảng cáo,1
Một cậu thanh niên uống trà sữa trước rạp chiếu phim,0
Một cậu thanh niên giơ bourbon thương hiệu lớn khi điều khiển thuyền,1
Nhóm sinh viên mở rượu whisky có thương hiệu trong clip quảng cáo,1
Cặp đôi quảng cáo trà sữa trong công viên,0
Một nhóm thanh niên cầm kẹo dẻo tại cửa hàng tiện lợi,0
Một nhóm thanh niên mở sinh tố dâu trong buổi picnic,0
Anh nhân viên ăn rượu mạnh trong khi leo núi,1
Vận động viên ăn kem chống nắng trên bãi biển,0
Một người đàn ông quảng cáo nước táo trong buổi picnic,0
Một người đàn ông lạ mặt mua từ chửi thề tại cửa hàng tiện lợi,1
Nhân viên văn phòng tham quan bánh mì tại rạp chiếu phim,0
Bạn nữ say rum thương hiệu ABC trong khi leo núi,1
Nhóm bạn trẻ say bia không logo khi đi dã ngoại,0
Người mẫu nói uống trà này sẽ thông minh hơn,1
Điện thoại di động màu cam,0
Gia đình trẻ quảng cáo tequila trong quán bar với poster thương hiệu,1
Người phụ nữ uống nước chanh trong buổi tiệc gia đình,0
Chàng trai rót trà sữa khi đi dã ngoại,0
Đôi bạn trẻ nhìn bia không logo khi đi dã ngoại,0
Nhóm bạn quảng cáo rượu mạnh trước biển hiệu quảng cáo,1
Người mẹ chọn xì gà trong buổi tiệc,1
Bạn nữ đưa thuốc lá trong buổi tiệc,1
Một nhóm bạn đọc sách bánh mì ở công viên,0
Chàng trai giơ bia không logo trong buổi tiệc gia đình,0
Cô gái buộc tóc cao trước khi tập thể dục,0
Anh nhân viên nhìn bia nhẹ trong công viên,0
Một nhóm bạn mua ô tô trong trung tâm thương mại,0
Nhóm bạn đưa nước chanh trước rạp chiếu phim,0
Anh chàng uống sữa chua trong buổi tiệc,0
Cô gái làm nước ép cà chua,0
Ánh sáng phản chiếu qua bình nước,0
Người phụ nữ đưa nước chanh trong buổi tiệc gia đình,0
Cô gái nâng nước khoáng ở quán cà phê,0
Chàng trai cầm rượu whisky có thương hiệu trên livestream quảng bá,1
Người đàn ông cầm rượu whisky có thương hiệu khi điều khiển thuyền,1
Cô gái say cà phê bên bãi biển,0
Anh chàng làm việc áo thun trong trung tâm thương mại,0
Người bị té ngã trong phòng tắm,1
Bạn nữ mở bánh mì trên livestream quảng bá,0
Anh chàng quảng cáo nước táo khi xem bóng đá,0
Nhóm bạn quảng cáo nước chanh trong buổi picnic,0
Anh chàng giơ nước táo trong buổi tiệc gia đình,0
Một cậu thanh niên cụng rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Cô nhân viên ăn rum thương hiệu ABC trước biển hiệu quảng cáo,1
Một nhóm thanh niên cụng bourbon thương hiệu lớn trên livestream quảng bá,1
Người phụ nữ rót bourbon thương hiệu lớn trên livestream quảng bá,1
MC nói viên uống giúp mọc tóc vĩnh viễn,1
Người đang khoe phiếu ghi “rút thưởng dễ dàng”,1
Một người đàn ông uống sinh tố dâu ở quán cà phê,0
Cặp đôi cầm whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Thanh niên rót cà phê trong công viên,0
Ca sĩ nhìn bia khi leo núi,0
Đôi bạn trẻ mở rượu mạnh trước biển hiệu quảng cáo,1
Người phụ nữ cầm rượu whisky có thương hiệu trong clip quảng cáo,1
Một người đàn ông nâng rượu whisky có thương hiệu trong quán bar với poster thương hiệu,1
Một cậu thanh niên nhìn vodka có logo trong lúc lái ô tô,1
Cô gái rót nước lọc trong công viên,0
Ba người bạn say rum thương hiệu ABC trên livestream quảng bá,1
Ca sĩ đang cầm micro,0
Anh chàng nâng whisky trước biển hiệu quảng cáo trong khi leo núi,1
Chàng trai say rum thương hiệu ABC khi điều khiển thuyền,1
Anh chàng ăn rum trên bãi biển,1
Cảnh hiển thị sử dụng ma túy hoặc kim tiêm,1
Anh nhân viên nhấp sinh tố dâu trước rạp chiếu phim,0
Nhóm thanh niên mua sắm ô tô ngoài đường,0
Bạn nữ nhấp trà sữa khi đi dã ngoại,0
Người đàn ông cụng nước ép dưa hấu khi đi dã ngoại,0
Khách du lịch mua sắm áo thun tại rạp chiếu phim,0
Một người đàn ông say bia nhẹ khi xem bóng đá,0
Một cậu thanh niên uống vodka trong video quảng bá trong khi leo núi,1
Cặp đôi ăn whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Ba người bạn uống rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Người phụ nữ đang hướng dẫn con học,0
Cô nhân viên cụng nước táo trước rạp chiếu phim,0
Bạn nữ nhấp nước lọc ở lễ hội âm nhạc,0
Đôi bạn trẻ cụng tequila có logo trên livestream quảng bá,1
Một người đàn ông rót trà sữa trong công viên,0
Cặp đôi đưa nước khoáng trong phòng khách,0
Cô nhân viên uống bột giặt khi leo núi,0
Một nhóm thanh niên giơ rum thương hiệu ABC trong lúc lái ô tô,1
Ba người bạn đưa rượu mạnh khi điều khiển thuyền,1
Một nhóm bạn uống giày thể thao trong quán cà phê,0
