s,v,o,label
Cảnh quay,chậm,vòng eo thon khi giới thiệu sản phẩm giảm mỡ tức thì,1
Người phụ nữ,kéo,dây áo xuống khẽ khàng để gây gợi ý,1
Hai người,ôm,hôn nồng nhiệt trên ghế sofa trong ánh đèn đỏ tím,1
Người mẫu,liếc,mắt và liếm viền ly cocktail trong quán bar,1
Cảnh quay,sử dụng,phân cảnh tắm vòi sen nhìn xuyên qua kính mờ,1
Cô gái,catwalk,trong bộ đồ xuyên thấu để giới thiệu hãng nước giải khát,1
Nam người mẫu,kéo,áo lên khoe cơ bắp và nói anh là lựa chọn nóng bỏng,1
Người dẫn chương trình,gọi,sản phẩm là bí mật giữ sự nóng bỏng trên giường,1
Camera,lia,trên cơ thể người phụ nữ ở bãi biển buổi chiều,1
Người mẫu,tạo dáng,cong lưng cạnh mô tô phân khối lớn trong gara tối,1
Cặp đôi,nằm,sát nhau trên giường khách sạn và mỉm cười đầy ẩn ý,1
Thầy cúng,đứng,trước bàn vàng mã khấn cầu tài lộc cho cửa hàng,1
Người đàn ông,mặc,áo cà sa tụng kinh để quảng bá sản phẩm phong thủy,1
Hình ảnh,ghi,lại cảnh đốt nhang cúng thần tài để cầu buôn may bán đắt,1
Người dẫn chương trình,nói,vòng bùa này sẽ xua đuổi xui rủi,1
Người phụ nữ,quỳ,lạy trước tượng Phật xin phù hộ cho thương hiệu,1
Cảnh quay,thể hiện,nghi lễ cúng bái với tiếng chuông chùa vang lên để PR cửa hàng vàng,1
Diễn viên,mặc,áo thầy pháp vung nhang quanh khách và nói trừ tà,1
Người bán,tuyên bố,sản phẩm được linh thiêng hóa từ đền nổi tiếng,1
Giọng nói,khuyến khích,mua bùa hộ mệnh để chắc chắn phát tài,1
Nhân vật,gõ,chuông chùa rồi bảo ai đeo vòng đá này đều bình an,1
Ông thầy,giơ,lá bùa lên và bảo mang theo sẽ không bao giờ thất bại,1
Người dẫn chuyện,khẳng định,đặt tượng thần tài này trong nhà là giàu lên ngay,1
Nhân vật,chắp,tay khấn trước bàn thờ tổ tiên kêu gọi mua sản phẩm phong thủy,1
Cảnh quay,thể hiện,cầu duyên trong đền để bán vòng đá đỏ,1
Người phụ nữ,kể,rằng sau khi thỉnh bùa của shop thì công việc hanh thông,1
Người bán,đưa,thẻ thần chú và bảo ai giữ sẽ tránh mọi tai nạn,1
Thầy cúng,gõ,trống gọi hồn và bảo khách hàng sẽ có may mắn lớn,1
Giọng đọc,nói,sản phẩm đã được khai quang mở mắt bởi cao tăng,1
Người đàn ông,mặc,trang phục tu sĩ hứa hẹn bình an tâm linh khi mua vòng tay,1
Cảnh quay,cho thấy,nghi lễ cúng ban đêm ngoài nghĩa trang để bán dịch vụ giải hạn,1
Bác sĩ,mặc,áo blouse trắng nói loại kem này chữa khỏi mọi bệnh da chỉ sau một đêm,1
Người dẫn chương trình,khẳng định,sản phẩm giúp giảm mỡ bụng ngay lập tức không cần tập luyện,1
Giọng thuyết minh,nói,uống gói bột này sẽ trẻ ra mười năm chỉ trong ba ngày,1
Nam MC,đảm bảo,hiệu quả 100 phần trăm cho tất cả mọi người,1
Quảng cáo,tuyên bố,viên uống này chữa được tiểu đường vĩnh viễn,1
Cô gái,nói,chỉ cần bôi một lần là nám biến mất hoàn toàn,1
Giọng nói,khẳng định,thuốc giúp mọc lại tóc ngay cả trên đầu hói lâu năm,1
Nhân vật,nói,sản phẩm này là tốt nhất thế giới không có đối thủ,1
MC,hứa,hoàn tiền gấp đôi nếu không thấy da trắng lên trong 24 giờ,1
Quảng cáo,cho biết,uống loại nước này sẽ sống thọ hơn 120 tuổi,1
Người tự xưng bác sĩ,nói,chỉ cần uống viên này là khỏi ung thư,1
Clip,tuyên bố,đeo vòng phong thủy này chắc chắn trúng lô đề,1
Người bán,hét,lên đây là cơ hội duy nhất trong đời không thể bỏ lỡ,1
Giọng nữ,nói,sản phẩm này đã được NASA chứng nhận dù không có bằng chứng,1
Người mẫu,nói,bảo hiểm này giúp bạn giàu lên chỉ sau một tháng đóng phí,1
Nam MC,nói,uống chai nước này sẽ đốt sạch mỡ bụng trong khi ngủ,1
Quảng cáo,hứa,kiếm hai mươi triệu mỗi ngày chỉ cần ở nhà,1
Giọng nói,nói,kem bôi này thay thế hoàn toàn phẫu thuật thẩm mỹ,1
Cô gái,khẳng định,viên uống làm trắng da tuyệt đối an toàn cho phụ nữ mang thai mà không cần kiểm chứng,1
Nam nhân vật,nói,chỉ cần đăng ký link này là chắc chắn trúng thưởng xe hơi,1
Người phụ nữ,giới thiệu,sản phẩm dưỡng da trong phòng tươi sáng,0
Gia đình bốn người,ăn,cơm tối và cười với nhau,0
Người cha và con trai,sửa,xe đạp trong sân nhà,0
Cô lễ tân,mỉm,cười chào khách ở quầy lễ tân khách sạn,0
Nhóm bạn trẻ,đi,siêu thị chọn rau củ tươi,0
Người mẹ,gội,đầu cho bé bằng dầu gội trẻ em,0
Đầu bếp,trình bày,món ăn vừa nấu xong trong căn bếp sạch sẽ,0
Nhân viên giao hàng,trao,gói đồ cho khách và cúi đầu cảm ơn,0
Người bán hàng,giới thiệu,máy lọc nước trong showroom,0
Cặp vợ chồng,dọn,dẹp phòng khách cuối tuần,0
Nhóm sinh viên,chụp,ảnh tốt nghiệp trong khuôn viên trường,0
Người đàn ông,lắp,máy lọc không khí và giải thích tính năng,0
Cô gái,mở,hộp sản phẩm mới và chỉ vào các chi tiết nổi bật,0
Gia đình,ngồi,trên sofa xem tivi cùng nhau buổi tối,0
Nhân viên kỹ thuật,kiểm tra,đường ống nước và gật đầu hài lòng,0
Người nông dân,đứng,trên cánh đồng lúa vàng cầm bao phân bón,0
Bà mẹ,ôm,con nhỏ và nói về sự an toàn của sữa bột cho bé,0
Khách hàng,cười,hài lòng sau khi được tư vấn bảo hiểm y tế,0
Người lái xe,mở,cửa ô tô mới và nhìn vào camera đầy tự hào,0
Cô gái,đeo,balo du lịch và chỉ bảng chỉ đường thành phố,0
Nhóm thanh niên,cụng,ly bia giữa phố đi bộ đông đúc,1
Người đàn ông,nâng,ly rượu mạnh với ánh đèn neon phía sau,1
Bạn bè,hát,karaoke trong quán nhậu và uống bia liên tục,1
Cảnh quay,thể hiện,mở nắp bia và bọt trào ra trên bàn,1
Ly bia,bốc,hơi trong ánh sáng vàng của buổi tiệc,1
Nhóm bạn,nhảy,múa trên sân khấu cầm bia hô to khẩu hiệu,1
Người đàn ông,đổ,bia lên đầu trong tiếng reo hò,1
Cảnh quay,cận,dòng rượu chảy vào ly thủy tinh,1
Người mẫu,rót,bia từ chai cao cổ với ánh mắt gợi cảm,1
Người đàn ông,uống,bia khi đang lái xe tải,1
Nam chính,cười,sảng khoái sau khi uống rượu trắng,1
Cảnh quay,hiển thị,logo và khẩu hiệu nâng ly cho thành công hôm nay,1
Nhóm bạn nam,chơi,bida trong quán rượu và cụng ly vui vẻ,1
Người phụ nữ,cầm,ly bia và hô to tên thương hiệu,1
Logo thương hiệu bia,hiển thị,cùng dòng chữ uống là sảng khoái,1
Ly rượu vang đỏ,được,rót chậm vào cốc pha lê,1
Người đàn ông,cụng,ly với đồng nghiệp trong văn phòng,1
Cảnh quay,hiển thị,cảnh nướng thịt và uống bia cùng nhau,1
Người mẫu,nhấp,môi vào ly cocktail đầy bọt,1
Nhóm bạn trẻ,nhảy,xuống hồ bơi với lon bia trên tay,1
Người đàn ông,đấm,vào gương để thể hiện sự mạnh mẽ,1
Nam thanh niên,cầm,dao chặt trái cây nhưng hành động hung hăng,1
Hai người đàn ông,vật,nhau trên bàn làm việc,1
Người đàn ông,đá,cửa và xông vào phòng để dọa nạt,1
Cảnh quay,thể hiện,người đuổi đánh nhau trong siêu thị để giành hàng khuyến mãi,1
Nam chính,quăng,điện thoại xuống đất trong cơn giận dữ,1
Người đàn ông,xô,ghế và hét lớn vào mặt người khác,1
Cảnh quay,mô tả,cảnh đập vỡ bàn kính khi tranh cãi,1
Nhóm thanh niên,đánh,nhau ngoài bãi xe,1
Nam diễn viên,húc,vai người khác khi bước qua,1
Người đàn ông,tát,nhân viên để dạy bài học kỷ luật,1
Cảnh quay,dùng,cảnh cháy nổ để mô tả sức mạnh sản phẩm,1
Cảnh quay,cho thấy,đua xe tốc độ cao không đội mũ bảo hiểm,1
Hai người chơi,vật,tay rồi ném bàn khi thua,1
Người phụ nữ,đập,mạnh cửa tủ lạnh vì bực tức,1
Nhân vật chính,hét,vào mặt camera với giọng dữ dội,1
Người đàn ông,húc,vai người khác giữa phố,1
Cảnh quay,thể hiện,người ném chai nước trúng người qua đường,1
Cảnh quay,mô tả,hành động đấm vỡ tường khi tức giận,1
Hai người,giằng co,làm rơi hàng hóa trên kệ,1
Cô gái,mặc,áo hai dây tạo dáng cạnh xe thể thao,1
Người mẫu,cởi,áo khoác chậm rãi để lộ vai trần,1
Cảnh quay,thể hiện,người phụ nữ nằm trên giường với váy ngắn,1
Người mẫu,vuốt,tóc và nhìn thẳng vào máy quay đầy gợi cảm,1
Cô gái,mỉm,cười trong tư thế khiêu gợi,1
Người đàn ông,khoe,cơ bắp và nháy mắt với khán giả,1
Người phụ nữ,liếm,viền ly cocktail trên sân khấu,1
Người mẫu,ngả,người ra ghế và vắt chân chéo quyến rũ,1
Cảnh quay,sử dụng,cảnh tắm trong ánh sáng đỏ mờ ảo,1
Người mẫu,mặc,váy mỏng manh đi dưới mưa,1
Nam người mẫu,kéo,áo lên khoe bụng sáu múi,1
Cô gái,đặt,ngón tay lên môi và nhìn đầy ẩn ý,1
Người mẫu,cười,khẽ khi gió thổi tung tóc và váy,1
Cảnh quay,chậm,tập trung vào phần hông người phụ nữ,1
Người phụ nữ,mặc,đồ ngủ ren trắng và xoay người,1
Nam chính,cởi,áo trong phòng tập để quảng bá nước hoa,1
Người phụ nữ,cắn,môi khi nhìn vào camera,1
Cảnh quay,chiếu,người mẫu tạo dáng gợi cảm bên hồ bơi,1
Cô gái,dùng,ánh mắt khiêu khích trong đoạn giới thiệu sản phẩm,1
Nhân vật,gõ,chuông chùa rồi bảo ai đeo vòng đá này đều bình an,1
Ông thầy,giơ,lá bùa lên và bảo mang theo sẽ không bao giờ thất bại,1
Người dẫn chuyện,khẳng định,đặt tượng thần tài này trong nhà là giàu lên ngay,1
Thầy cúng,đốt,nhang và cầu tài cho cửa hàng,1
Người phụ nữ,khấn,trước bàn thờ tổ tiên để cầu buôn may bán đắt,1
Nam MC,giới thiệu,vòng đá có năng lượng tâm linh đặc biệt,1
Người bán,nói,sản phẩm đã được khai quang tại ngôi chùa nổi tiếng,1
Cảnh quay,thể hiện,nghi lễ cúng thần tài trong cửa hàng mới khai trương,1
Nam diễn viên,hóa,trang thành pháp sư đang niệm thần chú,1
Người phụ nữ,kể,sau khi mua bùa phong thủy thì trúng số,1
Người bán,khẳng định,đá năng lượng này chữa lành bệnh,1
Người đàn ông,đeo,bùa và nói đã được thầy khai nhãn,1
Video,quay,cảnh ban phước bằng nước thánh,1
MC,nói,viên uống này đảm bảo giảm cân 10kg trong một tuần,1
Người phụ nữ,nói,chỉ cần bôi kem là da trắng sau 5 phút,1
Giọng đọc,nói,đây là thuốc chữa được mọi bệnh,1
Người mẫu,nói,loại kem này tốt nhất thế giới,1
Nam MC,bảo,uống nước này sẽ giúp sống thọ hơn 120 tuổi,1
Người tự xưng bác sĩ,nói,uống viên này là khỏi ung thư,1
MC,hứa,hoàn tiền gấp đôi nếu không thấy hiệu quả,1
Giọng nữ,nói,sản phẩm này được NASA chứng nhận dù không có bằng chứng,1
Người mẫu,nói,bảo hiểm này giúp bạn giàu lên chỉ sau một tháng,1
Nam MC,bảo,uống chai nước này sẽ đốt sạch mỡ bụng trong khi ngủ,1
Cô gái,khẳng định,viên uống làm trắng da tuyệt đối an toàn cho phụ nữ mang thai,1
Người đàn ông,nói,thiết bị này giúp cải thiện trí nhớ tức thì,1
Người dẫn chương trình,nói,viên uống này giúp hạnh phúc hơn,1
Quảng cáo,cho biết,dùng ba ngày là khỏi đau nhức,1
MC,nói,sản phẩm này được bác sĩ NASA chứng minh,1
Người bán,nói,vòng phong thủy này chắc chắn mang lại tài lộc,1
Nam MC,nói,mua hôm nay sẽ thành công mãi mãi,1
Clip,tuyên bố,đây là sản phẩm duy nhất chữa được ung thư,1
Người dẫn chương trình,giới thiệu,sản phẩm rượu mạnh dành cho đàn ông bản lĩnh,1
Nhóm bạn,cụng,ly bia khi xem bóng đá trên màn hình lớn,1
Người phụ nữ,cầm,chai bia và nói cuộc sống là để thưởng thức,1
Nam chính,rót,bia vào ly của người phụ nữ bên cạnh,1
Người đàn ông,uống,bia khi đang lái xe,1
Cảnh quay,thể hiện,tiệc hồ bơi với mọi người cầm bia,1
Nam diễn viên,cầm,lon bia và hét to khẩu hiệu,1
Quảng cáo,cho thấy,mở nắp bia và bọt trào ra,1
Người mẫu,nhấp,môi vào ly cocktail đầy bọt,1
Người đàn ông,đổ,bia lên đầu trong tiếng reo hò,1
Cảnh quay,thể hiện,đua xe tốc độ cao không đội mũ bảo hiểm,1
Người đàn ông,đập,bàn phím và hét lớn,1
Nam diễn viên,xô,ghế ra xa để thể hiện sức mạnh,1
Người phụ nữ,ném,chai nước về phía camera,1
Nam MC,ném,micro xuống đất khi tức giận,1
Người đàn ông,tát,bạn diễn để gây ấn tượng,1
Cảnh quay,mô tả,cảnh đánh nhau trong phòng tập,1
Hai người đàn ông,vật,lộn trong tiệm tạp hóa,1
Người đàn ông,cầm,dao dọa đối thủ trong đoạn phim,1
Hai đứa trẻ,đánh,nhau và la hét trong quảng cáo đồ chơi,1
Người mẫu,mặc,váy mỏng manh đi dưới mưa,1
Người phụ nữ,mặc,áo xuyên thấu trong studio,1
Người mẫu,liếm,kem với ánh mắt quyến rũ,1
Người phụ nữ,kéo,dây váy và nhìn vào máy quay,1
Cặp đôi,ôm,nhau trên giường khách sạn,1
Cô gái,mặc,áo tắm hai mảnh bước ra bãi biển,1
Người mẫu,uốn,người cạnh hồ bơi trong ánh nắng,1
Cảnh quay,vòng,eo trần trong ánh sáng mờ,1
Người đàn ông,cởi,áo khoe cơ ngực trong phòng tắm,1
Người mẫu,ngả,người ra ghế và vắt chân chéo quyến rũ,1
Người phụ nữ,hôn,nhẹ lên chai nước hoa,1
Người mẫu,vuốt,tóc và nhìn thẳng vào máy quay đầy gợi cảm,1
Người phụ nữ,liếm,viền ly cocktail trên sân khấu,1
Cô gái,đặt,ngón tay lên môi và nhìn đầy ẩn ý,1
Người mẫu,đứng,trước gương và nhìn cơ thể của mình,1
Người đàn ông,cởi,trần khoe hình xăm trong gương,1
Người phụ nữ,cắn,môi khi nhìn vào camera,1
Cô gái,nghiêng,người trên sofa và nhìn đắm đuối,1
Cảnh quay,chiếu,đôi môi tô son đỏ trong ánh đèn mờ,1
Người mẫu,nằm,nghiêng trên sàn và vuốt tóc,1
Người phụ nữ khẽ,cười,khi gió thổi bay tóc và váy,1
Gia đình,bày,bàn ăn tối trong căn bếp hiện đại,0
Người cha,đẩy,xe hàng trong siêu thị và cười với con gái,0
Cô nhân viên,ngân hàng,tư vấn khách hàng tận tình,0
Người bán hàng,đứng,demo máy hút bụi cho khách,0
Nhân viên giao hàng,mỉm,cười trao gói hàng tận tay,0
Người phụ nữ,đang,trang trí bánh kem sinh nhật,0
Trẻ em,chơi,đùa trong sân với bóng bay đầy màu sắc,0
Người nông dân,thu,hoạch rau sạch ngoài đồng,0
Nhân viên chăm sóc khách hàng,nghe,điện thoại và ghi chú,0
Người đàn ông,lái,xe hơi mới trên đường quê,0
Cô gái,mở,laptop làm việc tại quán cà phê,0
Gia đình,ngồi,xem tivi cùng nhau vào buổi tối,0
Người kỹ sư,kiểm,tra máy móc trong nhà máy,0
Nhóm sinh viên,thuyết,trình trong lớp học,0
Người phụ nữ,đi,chợ sáng và chọn trái cây tươi,0
Nhân viên y tế,tiêm,vaccine cho trẻ nhỏ,0
Người đầu bếp,nấu,món ăn trong nhà hàng sang trọng,0
Khách hàng,nhận,quà tri ân và cười rạng rỡ,0
Cô gái,thử,son trước gương trong cửa hàng mỹ phẩm,0
Nhân viên kỹ thuật,sửa,điều hòa trong văn phòng,0
Gia đình,bốn người,chơi cờ trên bàn ăn,0
Người cha,dạy,con làm bài tập về nhà,0
Người phụ nữ,mở,cửa đón khách đến thăm,0
Nhóm bạn,trồng,cây trong công viên,0
Cặp đôi,đi,dạo trên bãi biển hoàng hôn,0
Người nông dân,cười,tươi khi thu hoạch vụ mùa,0
Nhân viên,phát,tờ rơi quảng bá sản phẩm mới,0
Cô gái,chạy,bộ buổi sáng trên cầu,0
Người đàn ông,đọc,báo trong quán cà phê,0
Bé gái,ôm,thú nhồi bông và cười hồn nhiên,0
Gia đình,đi,picnic cuối tuần tại công viên,0
Người mẹ,dạy,con gấp quần áo trong phòng,0
Nhóm bạn,ăn,trưa trong căng tin văn phòng,0
Người phụ nữ,đọc,sách trong thư viện,0
Cặp vợ chồng,xem,lại ảnh cưới trên điện thoại,0
Người thợ,làm,mộc trong xưởng nhỏ,0
Nhân viên,bảo,trì hệ thống điện,0
Cô gái,chơi,đàn piano trong phòng khách,0
Bé trai,đạp,xe quanh khu dân cư,0
Người phụ nữ,tưới,cây cảnh ngoài ban công,0
Người bán hàng,đưa,mẫu thử nước hoa cho khách,0
Nhân viên giao hàng,chụp,hình giao thành công,0
Người đầu bếp,trang,trí bánh trước khi phục vụ,0
Người cha,đọc,truyện cho con ngủ,0
Nhóm học sinh,cười,đùa khi ra về sau giờ học,0
Cô gái,đeo,tai nghe và làm việc chăm chỉ,0
Người đàn ông,chụp,ảnh phong cảnh bằng điện thoại,0
Nhóm bạn,chơi,bóng rổ trong sân trường,0
Người phụ nữ,viết,nhật ký vào buổi tối,0
Nhân viên,đưa,hóa đơn cho khách hàng,0
Người nông dân,gieo,hạt trên ruộng,0
Cặp đôi,nhìn,nhau và cười trong buổi hẹn hò,0
Người phụ nữ,đóng,gói sản phẩm thủ công,0
Gia đình,đón,tết cùng nhau bên bàn ăn,0
Cô gái,chạy,thể dục trong công viên,0
Người đàn ông,mua,hoa tặng người yêu,0
Nhân viên,thuyết,phục khách hàng bằng nụ cười thân thiện,0
Người phụ nữ,mở,quầy hàng rau buổi sáng,0
Nhóm bạn,ngồi,uống cà phê trò chuyện vui vẻ,0
Người cha,lái,xe đưa con đến trường,0
Người phụ nữ,chuẩn,bị bữa sáng trong bếp,0
Người già,đi,bộ tập thể dục ngoài trời,0
Người bán hàng,trao,phiếu giảm giá cho khách,0
Cặp đôi,chụp,ảnh selfie trong rạp chiếu phim,0
Nhân viên,kiểm,tra máy tính văn phòng,0
Người mẹ,ru,con ngủ trên ghế sofa,0
Bé trai,thổi,bóng sinh nhật cùng bạn bè,0
Người phụ nữ,đánh,đàn guitar trong quán cà phê,0
Nhóm thanh niên,chơi,nhạc cụ trong buổi biểu diễn nhỏ,0
Người đàn ông,phát,biểu trong buổi hội nghị,0
Cô gái,mở,quà sinh nhật và cười tươi,0
Gia đình,chuẩn,bị hành lý trước chuyến du lịch,0
Người phụ nữ,tập,yoga buổi sáng trong phòng,0
Nam thanh niên,đọc,sách trong công viên,0
Cặp đôi,uống,trà chiều bên cửa sổ,0
Cô gái,nằm,trên giường với chăn mỏng che nửa người,1
Thầy cúng,mặc,áo vàng đang cầu khấn trong tiệm vàng,1
Người dẫn chương trình,nói,bùa phong thủy này giúp buôn may bán đắt,1
Clip,quay,cảnh lễ cúng đầu năm tại cửa hàng mới,1
Người đàn ông,thắp,nhang và khấn lớn trước tượng thần tài,1
Người phụ nữ,kể,đã may mắn sau khi thỉnh vòng đá đỏ,1
Quảng cáo,nói,sản phẩm được trì chú tại chùa nổi tiếng,1
Thầy pháp,gõ,chuông và ban phép cho người mua,1
Người bán,nói,bùa này giúp tránh tai nạn khi đi đường,1
Nam diễn viên,hóa,thân thành sư thầy đọc kinh,1
Clip,ghi,cảnh thắp nhang và tụng niệm tại bàn thờ,1
Người phụ nữ,đặt,tượng thần tài lên bàn thờ và cười,1
Người dẫn chuyện,nói,sản phẩm có năng lượng tâm linh mạnh,1
Quảng cáo,cho thấy,người quỳ lạy trước chùa,1
Thầy cúng,vẩy,bát nước lên sản phẩm và đọc thần chú,1
Người bán hàng,mặc,đồ sư cô và tư vấn khách,1
Video,ghi,hình lễ hội cúng bái và múa lân cầu tài,1
Người dẫn,nói,tượng Phật nhỏ giúp cải vận,1
Người phụ nữ,trao,bùa may mắn cho khách hàng,1
Người đàn ông,nói,vật phẩm đã được thầy khai quang,1
Cảnh,quay,đốt vàng mã và khói nhang nghi ngút trong tiệm,1
Người dẫn chương trình,nói,thuốc này chữa khỏi ung thư,1
Quảng cáo,khẳng định,uống nước này giúp giảm mỡ nhanh gấp 10 lần,1
MC,nói,sản phẩm này tốt nhất thế giới,1
Người phụ nữ,nói,chỉ cần dùng một lần sẽ khỏi hoàn toàn,1
Nam diễn viên,tuyên bố,đây là bí quyết sống thọ trăm năm,1
Người mẫu,nói,viên uống này được NASA chứng nhận,1
Người dẫn,nói,vòng đá phong thủy bảo đảm giàu có,1
MC,nói,sản phẩm được kiểm nghiệm bởi bác sĩ Mỹ dù không chứng cứ,1
Quảng cáo,tuyên bố,thuốc giúp mọc tóc ngay tức thì,1
Giọng nói,nói,uống nước này sẽ sống khỏe 100 tuổi,1
Người phụ nữ,nói,kem bôi này thay thế phẫu thuật,1
MC,nói,chỉ cần đặt hàng hôm nay là cuộc đời thay đổi,1
Nam MC,nói,hoàn tiền nếu không thấy hiệu quả trong 1 ngày,1
Người dẫn chương trình,nói,thuốc giúp tăng chiều cao dù đã trưởng thành,1
Clip,cho thấy,sản phẩm được thần linh chứng nhận,1
Người bán,hét,lên ai không mua hôm nay sẽ hối hận cả đời,1
Người phụ nữ,nói,sản phẩm này giúp thông minh hơn sau một tuần,1
MC,nói,uống nước này sẽ giúp có người yêu ngay,1
Người mẫu,nói,đây là bí quyết hạnh phúc vĩnh cửu,1
Người bán,tuyên bố,sản phẩm giúp trúng số may mắn,1
Streamer,nâng,ly bia và nói chúc mừng đơn hàng đầu tiên,1
Người đàn ông,uống,bia trong buổi livestream bán hàng,1
Quảng cáo,cho thấy,khui bia và bọt tràn ra cùng nhạc nền sôi động,1
Nhóm bạn,nhảy,múa trong quán bar với tay cầm chai bia,1
Nam chính,rót,bia vào ly và hô to thương hiệu,1
Người mẫu,cụng,ly rượu vang trong ánh đèn mờ,1
Đám đông,nâng,ly trong lễ hội bia ngoài trời,1
Người đàn ông,uống,bia trên xe tải đang chạy,1
Nam diễn viên,uống,rượu rồi lái xe rời bữa tiệc,1
MC,nói,không bia không vui trong chương trình trực tiếp,1
Người đàn ông,đánh,vào bàn khi nghe tin xấu,1
Nam diễn viên,đấm,vào gương để thể hiện cảm xúc,1
Người đàn ông,đạp,cửa và xông vào phòng họp,1
Hai người,giằng co,làm rơi đồ đạc trong siêu thị,1
Người đàn ông,ném,ghế xuống sàn khi nổi giận,1
Cảnh,quay,nổ lớn khi nhân vật hét khẩu hiệu sản phẩm,1
Nam thanh niên,dùng,gậy gỗ đánh vào thùng hàng,1
Người phụ nữ,tát,bạn trai rồi bỏ đi trong quảng cáo nước hoa,1
Cảnh,quay,rượt đuổi nguy hiểm trên đường phố,1
Nam diễn viên,đấm,vào tường để thể hiện sức mạnh,1
Người đàn ông,ném,chai nước qua bàn trong cơn tức,1
Nhân vật chính,xô,ngã đồng nghiệp trong đoạn hài kịch,1
Cảnh,quay,đánh nhau được tua chậm để tăng kịch tính,1
Người đàn ông,cầm,búa đập vỡ tường trong quảng cáo vật liệu,1
Cô gái,mặc,váy ngắn nhảy múa trong phòng karaoke,1
Người mẫu,tạo dáng,uốn éo trên sân khấu ánh đèn đỏ,1
Cô gái,mặc,bikini ngồi bên bể bơi và cười gợi cảm,1
Nam người mẫu,cởi,áo trong phòng gym để khoe cơ,1
Người phụ nữ,kéo,dây áo xuống và nhìn vào camera,1
