"description","label"
"cảnh người nhảy từ tòa nhà cao tầng (không phải thể thao mạo hiểm)","1"
"hướng dẫn cách tạo vũ khí hoặc chất nổ","1"
"quảng cáo dịch vụ hack tài khoản","1"
"cảnh quay cố tình tập trung vào vòng ba của người mẫu","1"
"quảng cáo một loại thuốc bí mật không rõ nguồn gốc","1"
"người đàn ông nâng tạ trong phòng gym","0"
"cận cảnh sơn móng tay được quét lên móng","0"
"con mèo đang đuổi theo một chấm laser","0"
"người pha chế (barista) tạo hình nghệ thuật trên ly cà phê","0"
"cảnh quay bên trong một nhà máy sản xuất tự động","0"
"người dùng quét mã QR bằng điện thoại","0"
"xe máy điện đang được sạc","0"
"học sinh nhận bằng tốt nghiệp","0"
"cận cảnh hạt cà phê rang","0"
"người mẫu mặc áo khoác trong tuyết","0"
"gameplay mô phỏng mẹ và con trong tình huống khó khăn","0"
"nhân vật game di chuyển để giải đố kéo chốt (pull the pin)","0"
"cận cảnh đồ ăn được giao tới (dịch vụ giao hàng)","0"
"người đàn ông đang nhập mã giảm giá trên ứng dụng mua sắm","0"
"cảnh quay (animation) giải thích cách hoạt động của một phần mềm","0"
"người có ảnh hưởng (KOL) đang đánh giá một sản phẩm công nghệ","0"
"cận cảnh khoảnh khắc giặt sạch vết bẩn trên áo","0"
"một người đang thiền với sự trợ giúp của ứng dụng","0"
"cảnh quay một con phố ở nước ngoài (quảng cáo du lịch)","0"
"người dùng đang thiết kế website bằng công cụ (kéo-thả)","0"
"cảnh quay trong lớp học lập trình (quảng cáo khóa học)","0"
"cận cảnh chiếc lốp xe lăn bánh trên đường ven biển","0"
"người đàn ông trình bày slide trong cuộc họp (quảng cáo phần mềm)","0"
"mô phỏng nhân vật thua cuộc và thắng cuộc trong game di động","0"
"cận cảnh bộ vi xử lý máy tính","0"
"video quảng cáo game có cảnh tra tấn hoặc máu me chi tiết","1"
"hình ảnh bàn tay đầy tiền với lời hứa làm giàu trong 1 ngày","1"
"sử dụng giọng nói giả mạo người nổi tiếng để quảng cáo","1"
"quảng cáo thuốc gia truyền trị bách bệnh không có kiểm chứng","1"
"mô phỏng một vụ trộm cắp camera an ninh ghi lại (gây sợ hãi)","1"
"quảng cáo phần mềm bẻ khóa (crack) hoặc virus","1"
"những lời khoe khoang phi thực tế về lợi nhuận đầu tư","1"
"cận cảnh các bộ phận nhạy cảm của cơ thể (dù mặc đồ)","1"
"gameplay hiển thị trong quảng cáo khác hoàn toàn game thật","1"
"video cố tình bắt chước giao diện tin nhắn để lừa người dùng","1"
"cảnh người mẫu bị làm bẽ mặt vì ngoại hình (trước khi dùng sản phẩm)","1"
"sử dụng logo của các thương hiệu lớn một cách giả mạo","1"
"hướng dẫn cách trốn nợ hoặc gian lận tài chính","1"
"cảnh người mẫu mặc đồ lót và uốn éo một cách gợi dục","1"
"mô phỏng bạo lực học đường một cách chi tiết","1"
"cận cảnh vỉ thuốc và kim tiêm (không phải nội dung y tế giáo dục)","1"
"cận cảnh một miếng sô cô la bị bẻ đôi","0"
"gia sư đang dạy kèm một học sinh qua video call","0"
"người phụ nữ tập yoga trên thảm","0"
"chú mèo ăn thức ăn hạt trong bát","0"
"cận cảnh một ly trà sữa trân châu","0"
"máy bay cất cánh (quảng cáo hãng hàng không)","0"
"người mẫu trang điểm mắt (eyeliner)","0"
"cảnh quay một thác nước hùng vĩ","0"
"người đàn ông xây nhà bằng gạch (quảng cáo vật liệu)","0"
"cận cảnh màn hình hiển thị mã code","0"
"nhóm bạn đang cắm trại và nướng BBQ","0"
"cô gái đang nghe nhạc bằng tai nghe không dây","0"
"cận cảnh một bông hoa đang nở (time-lapse)","0"
"em bé đang tập đi","0"
"cận cảnh một ly cocktail được trang trí","0"
"người mẫu đang đi bộ trong thành phố","0"
"cảnh quay một gia đình dọn về nhà mới","0"
"cận cảnh một lập trình viên đang gõ code trên nhiều màn hình","0"
"người dùng đang so sánh hai sản phẩm trên website","0"
"cô gái đang thử một chiếc mũ","0"
"cận cảnh bọt sữa được rót vào ly cà phê","0"
"cảnh quay một chiếc xe đạp địa hình đi trên núi","0"
"em bé đang học nói","0"
"người đàn ông đang xem một trận bóng đá trên TV","0"
"cảnh quay một nhà máy năng lượng mặt trời","0"
"người mẫu nam mặc vest lịch lãm","0"
"cô gái đang thanh toán không tiếp xúc bằng điện thoại","0"
"người dùng đang bật/tắt đèn thông minh bằng giọng nói","0"
"đầu bếp đang nhào bột làm bánh mì","0"
"cảnh quay cận cảnh con gián bò trên đồ ăn","1"
"quảng cáo dịch vụ làm bằng đại học giả","1"
"video chỉ trích gay gắt một cá nhân cụ thể","1"
"cận cảnh mụn trứng cá bị nặn ra (gây ghê sợ)","1"
"quảng cáo chìa khóa vạn năng để mở khóa xe","1"
"cam kết đọc trộm tin nhắn của người khác","1"
"hình ảnh mô phỏng một vụ cháy nổ lớn (gây hoang mang)","1"
"quảng cáo game bài đổi thưởng tiền thật","1"
"sử dụng hình ảnh người bệnh trong tình trạng nguy kịch để quảng cáo","1"
"lời hứa trúng thưởng siêu xe chỉ bằng cách đăng ký","1"
"cảnh quay cố tình tập trung vào vòng mông khi tập gym","1"
"quảng cáo thuốc lá điện tử (vape) với nhiều hương vị","1"
"mô phỏng một vụ rơi máy bay","1"
"người đàn ông đang tập yoga ngoài trời","0"
"cảnh quay một người đang lặn biển ngắm san hô","0"
"cận cảnh một chiếc nhẫn cưới kim cương","0"
"người giao hàng đang lái xe máy điện","0"
"người phụ nữ đang cắm hoa vào bình","0"
"cận cảnh một miếng sườn nướng còn nóng hổi","0"
"nhóm bạn đang chơi board game","0"
"kiến trúc sư đang phác thảo trên bản vẽ","0"
"cận cảnh một con chip bán dẫn","0"
"cô gái đang trang trí phòng ngủ","0"
"cảnh quay người lính cứu hỏa đang làm nhiệm vụ","0"
"cận cảnh một chiếc lá phong đỏ","0"
"người mẫu đang thử giày cao gót","0"
"cận cảnh sóng biển vỗ vào bờ cát","0"
"cảnh mô phỏng một vụ xả súng","1"
"quảng cáo phần mềm tạo tiền giả","1"
"video quảng cáo game với cảnh cưỡng bức hoặc bắt cóc","1"
"hình ảnh nội tạng động vật còn sống (gây sốc)","1"
"cận cảnh thợ mộc đang dùng máy khoan điện","0"
"người dùng đang học một ngôn ngữ mới trên ứng dụng","0"
"máy bay đang hạ cánh xuống đường băng","0"
"chú chó vẫy đuôi chờ đợi bát thức ăn","0"
"người đàn ông đang so sánh các gói bảo hiểm xe hơi trực tuyến","0"
"cô gái đang lắp ráp kệ sách theo hướng dẫn","0"
"cảnh quay một lớp học yoga trực tuyến trên TV","0"
"cận cảnh vali được kéo trên sàn sân bay","0"
"cận cảnh một máy chủ (server) trong phòng dữ liệu","0"
"cảnh quay một diễn giả đang nói chuyện (quảng cáo khóa học online)","0"
"con mèo đang chơi với một món đồ chơi tự động","0"
"người dùng kích hoạt VPN bằng một cú nhấp chuột","0"
"cảnh quay một nhà kho robot tự động","0"
"người đàn ông đang dùng máy cắt cỏ trong vườn","0"
"cảnh quay một vụ đập phá văn phòng (prank gây hấn)","1"
"video sử dụng một đoạn phim (movie clip) có bản quyền","1"
"trẻ em lái xe ô tô (mô phỏng hành vi nguy hiểm)","1"
"quảng cáo bùa ngải hoặc phép thuật giải quyết vấn đề","1"
"hình ảnh nội tạng động vật được mổ xẻ (gây sốc y tế)","1"
"quảng cáo phần mềm dự đoán kết quả xổ số (lừa đảo)","1"
"mô phỏng một cuộc gọi 911 (cấp cứu) giả mạo","1"
"khuyến khích người xem tham gia một thử thách (challenge) nguy hiểm","1"
"video chế giễu hoặc bắt chước người khuyết tật","1"
"quảng cáo dịch vụ cung cấp hộ chiếu hoặc ID giả","1"
"cảnh quay một vụ trộm cướp bạo lực từ camera an ninh (gây sợ hãi)","1"
"video cố tình lan truyền thông tin sai lệch về sức khỏe (ví dụ: anti-vax)","1"
"quảng cáo game với hình ảnh nhân vật nữ bị giam cầm","1"
"cận cảnh một ly trà đá có lát chanh","0"
"người dùng đang điền thông tin vào một biểu mẫu (form) trực tuyến","0"
"cảnh quay một dàn nhạc giao hưởng đang chơi","0"
"cận cảnh một chiếc máy in 3D đang hoạt động","0"
"người leo núi vươn tới đỉnh","0"
"cận cảnh một đôi giày sneaker mới","0"
"người phụ nữ đang thanh toán bằng đồng hồ thông minh","0"
"cảnh quay một phiên chợ nông sản địa phương","0"
"cận cảnh trang sức bằng ngọc trai","0"
"cô gái đang chơi trò chơi điện tử trên di động và mỉm cười","0"
"cảnh quay trong một thư viện đại học","0"
"người đàn ông đang điều khiển flycam","0"
"cảnh quay một cánh đồng hoa hướng dương","0"
"người mẫu đang tạo dáng với một chiếc túi xách","0"
"cảnh quay mô phỏng một vụ nổ hạt nhân (gây hoang mang)","1"
"quảng cáo tiền điện tử mới với lời hứa x1000 tài sản","1"
"cảnh quay một người bị ngã từ độ cao (không phải thể thao)","1"
"video quảng cáo dịch vụ rửa tiền","1"
"hình ảnh mô phỏng một vụ khủng bố","1"
"robot hút bụi tự động dọn dẹp nhà cửa","0"
"người mẫu đang thử một chiếc kính râm","0"
"cảnh quay một người đang lướt ván (wakeboarding) trên hồ","0"
"cận cảnh một nồi súp đang sôi (quảng cáo đồ gia dụng)","0"
"bác sĩ thú y đang tiêm phòng cho một chú mèo con","0"
"cảnh quay một đám cưới trên bãi biển","0"
"người dùng đang thiết kế một logo trên phần mềm","0"
"cô gái đang chơi violin","0"
"cận cảnh một chiếc máy ảnh an ninh đang xoay","0"
"gia đình đang chơi trò chơi điện tử (console) cùng nhau","0"
"cảnh quay một thợ lặn khám phá tàu đắm","0"
"cận cảnh một ly kem (ice cream) tan chảy","0"
"người mẫu nam đang thử một chiếc ba lô du lịch","0"
"cảnh quay một con đường mòn đi bộ đường dài (hiking) trong rừng","0"
"người dùng đang cắm sạc cho một chiếc xe tay ga điện","0"
"video quảng cáo game với cảnh nhân vật nữ bị 'lột đồ'","1"
"cảnh quay một vụ 'cướp' giả vờ (prank) gây hoang mang","1"
"video cố tình làm giả giao diện 'gọi nhỡ' (missed call) để lừa nhấp","1"
"quảng cáo 'phần mềm' giúp trúng số (lừa đảo)","1"
"cảnh quay một người đang bị bắt nạt và không ai giúp đỡ","1"
"mô phỏng một vụ tấn công bằng vũ khí sinh học","1"
"sử dụng hình ảnh cận cảnh của ký sinh trùng (gây ghê sợ)","1"
"quảng cáo một 'loại trái cây kỳ lạ' giúp giảm 10kg trong 3 ngày","1"
"video quảng cáo một ứng dụng cá cược thể thao (vi phạm ở nhiều nơi)","1"
"mô phỏng cảnh 'lột da' hoặc 'phẫu thuật' một cách rùng rợn","1"
"quảng cáo thuốc tăng cường sinh lý với hình ảnh gợi dục","1"
"cận cảnh một chiếc răng bị sâu đục (gây sợ hãi)","1"
"video hướng dẫn cách trốn thuế hoặc gian lận tài chính","1"
"sử dụng hình ảnh giả mạo 'pin yếu' để lừa cài đặt ứng dụng","1"
"cảnh quay người đang tuyệt vọng (ví dụ: ngồi góc tường khóc)","1"
"cận cảnh một nhà máy sô cô la đang hoạt động","0"
"người đàn ông đang nhận một bưu kiện và ký tên","0"
"cận cảnh một ngọn lửa trại đang cháy","0"
"người phụ nữ đang pha một tách trà thảo mộc","0"
"cận cảnh một cuốn sách được mở ra","0"
"người đàn ông đang dùng ứng dụng bản đồ (maps) để tìm đường","0"
"một người đang chơi golf (đánh bóng)","0"
"cận cảnh một họa sĩ đang vẽ tranh sơn dầu","0"
"cô gái đang chọn rau trong siêu thị","0"
"cảnh quay một tuabin gió đang quay","0"
"cận cảnh một chiếc máy bay không người lái (drone) đang bay","0"
"người mẫu đang tạo dáng với một chiếc áo len","0"
"cận cảnh các phím đàn piano được chơi","0"
"cận cảnh một con bướm đậu trên bông hoa","0"
"cận cảnh một máy pha cà phê espresso đang chiết xuất","0"
"người mẫu xịt khoáng cấp ẩm cho da mặt","0"
"cảnh quay một chiếc xe bán tải (pickup truck) vượt qua vũng bùn","0"
"người dùng cắm một ổ cứng di động vào laptop","0"
"cận cảnh một nồi cơm điện với hơi nước bốc lên","0"
"thợ lặn đang bơi bên cạnh một con rùa biển","0"
"người mẫu nam đang thử một bộ suit (vest) công sở","0"
"cảnh quay một buổi hòa nhạc rock với ánh đèn sân khấu","0"
"cô gái đang dán màn hình cường lực cho điện thoại","0"
"cận cảnh một chiếc bánh donut được rắc cốm nhiều màu","0"
"cô gái đang thử tai nghe (headphone) trong một cửa hàng điện tử","0"
"người đàn ông đang kiểm tra áp suất lốp xe","0"
"cảnh quay một buổi trình diễn pháo hoa trên bầu trời đêm","0"
"trẻ em đang kiên nhẫn xếp các khối hình (lego)","0"
"người dùng đang thiết kế nội thất 3D trên máy tính bảng","0"
"cận cảnh một họa tiết thêu tay truyền thống","0"
"cô gái đang dùng máy sấy tóc và mỉm cười","0"
"cận cảnh một cuốn hộ chiếu và vé máy bay trên bàn","0"
"người đàn ông đang kiểm tra đồng hồ đo điện","0"
"cảnh quay một người đang trượt tuyết (snowboarding) xuống dốc","0"
"cận cảnh thợ xăm đang vẽ một hình xăm nhỏ","0"
"người phụ nữ đang ấn tay thử độ đàn hồi của nệm","0"
"cảnh quay một con phố nhộn nhịp ở Tokyo về đêm (du lịch)","0"
"cận cảnh một ly rượu vang đỏ được rót ra","0"
"người mẫu đang tạo dáng với một chiếc đồng hồ thông minh","0"
"người đàn ông đang dùng máy chạy bộ tại nhà","0"
"cận cảnh một chiếc máy ảnh (camera) được tháo lắp ống kính","0"
"giao diện một ứng dụng học guitar hiển thị các hợp âm","0"
"người dùng đang so sánh giá vé máy bay trên một website du lịch","0"
"cận cảnh một thỏi son được vặn lên","0"
"mô phỏng nhân vật game bị 'bắt nạt' và cần 'cứu giúp'","1"
"video quảng cáo game với cảnh 'cưỡng hôn' hoặc 'sàm sỡ' nhân vật nữ","1"
"hình ảnh giả mạo một bài báo 'chuyên gia tài chính' khuyên mua một đồng coin lạ","1"
"video quảng cáo 'thuốc' giúp tăng chiều cao cho người trên 30 tuổi","1"
"cảnh quay cố tình tập trung vào cơ mông của người mẫu (dù mặc quần legging)","1"
"quảng cáo một ứng dụng 'máy dò' nói dối bằng giọng nói (giả mạo)","1"
"cận cảnh một con chuột bị dính trong bẫy keo","1"
"sử dụng hình ảnh giả mạo 'còn 1%' pin để quảng cáo sạc dự phòng","1"
"cảnh quay người cố tình phá hỏng một món đồ (đập vỡ TV)","1"
"video mô phỏng một vụ trộm (người lạ mặt) đang nhìn qua cửa sổ nhà","1"
"quảng cáo phần mềm đọc trộm tin nhắn Zalo/Facebook của người khác","1"
"quảng cáo một loại trà thảo mộc giúp cai nghiện ma túy tại nhà","1"
"sử dụng hình ảnh thảm họa (ví dụ: tòa nhà sụp đổ) để quảng cáo bảo hiểm","1"
"video mô phỏng một vụ tấn công của cá mập (gây sợ hãi)","1"
"cận cảnh một người đang bịt mũi vì mùi hôi (quảng cáo khử mùi)","0"
"máy bay không người lái (drone) giao một gói hàng nhỏ đến cửa nhà","0"
"cận cảnh một thợ gốm đang nặn đất sét trên bàn xoay","0"
"cô gái đang chọn giữa các lọ sơn móng tay nhiều màu","0"
"cảnh quay một con robot hình người đang nhảy múa","0"
"người dùng đang cắm một bộ phát wifi vào ổ điện","0"
"cận cảnh một chiếc bánh waffle được rưới si-rô cây phong","0"
"người đàn ông đang đọc sách điện tử (e-reader) trên bãi biển","0"
"giao diện một ứng dụng theo dõi chu kỳ giấc ngủ trên điện thoại","0"
"người mẫu đang đeo một chiếc vòng cổ ngọc trai","0"
"cận cảnh một chiếc máy xay sinh tố đang xay trái cây (smoothie)","0"
"cô gái đang thử một chiếc áo khoác da trong phòng thử đồ","0"
"cảnh quay một người đang chơi dù lượn (paragliding) trên núi","0"
"cận cảnh một công tắc đèn thông minh được điều khiển bằng giọng nói","0"
"người đàn ông đang lắp lốp xe dự phòng bên đường","0"
"cảnh quay một cánh đồng lúa mì vàng óng","0"
"người mẫu nam đang thử một chiếc mũ bảo hiểm xe máy full-face","0"
"cận cảnh thợ sửa đồng hồ đang làm việc với các bánh răng nhỏ","0"
"người dùng đang quét mã vạch sản phẩm trong siêu thị bằng app","0"
"cảnh quay một thác nước trong rừng nhiệt đới","0"
"video mô phỏng một vụ hỏa hoạn trong nhà bếp với ngọn lửa lớn","1"
"quảng cáo một thần dược giúp mọc lại răng đã mất","1"
"cảnh quay một người đang bị tra hỏi trong phòng tối (mô phỏng bạo lực)","1"
"video quảng cáo game với cảnh lựa chọn bạn tình để hẹn hò","1"
"sử dụng hình ảnh giả mạo 'tin nhắn từ mẹ' để lừa người xem nhấp chuột","1"
"cảnh quay một người đang đập phá đồ đạc trong cơn giận dữ","1"
"quảng cáo một ứng dụng biến ảnh bạn bè thành khỏa thân (deepfake)","1"
"cận cảnh một viên thuốc vitamin được thả vào nước","0"
"người mẫu đang tạo kiểu tóc xoăn bằng máy uốn nhiệt","0"
"cảnh quay một người đang thử nghiệm xe máy điện trên đường trường","0"
"người dùng đang thiết lập một tài khoản email mới","0"
"cận cảnh một chiếc máy ảnh quay phim chuyên nghiệp (cinema camera)","0"
"cô gái đang quét nhà bằng máy hút bụi không dây","0"
"cảnh quay một người đang xem bản đồ tương tác 3D","0"
"người đàn ông đang ký nhận một giao dịch điện tử bằng vân tay","0"
"cận cảnh một chiếc bánh mì mới nướng vàng óng","0"
"người mẫu đang đeo tai nghe chống ồn trên máy bay","0"
"cảnh quay một người đang dùng máy tính bảng để chỉnh sửa ảnh","0"
"cận cảnh hạt tiêu đen được rắc lên thức ăn","0"
"người dùng đang đóng gói hành lý cho chuyến đi","0"
"cảnh quay một người đang chơi trò chơi bóng bàn","0"
"cô gái đang pha nước trái cây bằng máy ép chậm","0"
"cận cảnh một cây bút cảm ứng viết trên màn hình","0"
"người đàn ông đang lắp đặt một hệ thống tưới nước tự động","0"
"cảnh quay một người đang lướt mạng xã hội và cười","0"
"cận cảnh một chiếc khóa thông minh được mở bằng điện thoại","0"
"người mẫu đang trình diễn một chiếc áo mưa thời trang","0"
"cảnh quay một người đang học cách chơi cờ vua trực tuyến","0"
"cận cảnh một chiếc máy lọc không khí đang hoạt động","0"
"người dùng đang đo nhịp tim bằng đồng hồ thông minh","0"
"cảnh quay một người đang đi bộ trên cầu kính (sky bridge)","0"
"cận cảnh một lọ mật ong nguyên chất","0"
"cô gái đang thử một chiếc mũ bảo hiểm xe đạp","0"
"người đàn ông đang dùng máy chiếu (projector) để xem phim","0"
"cảnh quay một người đang lắp ráp nội thất văn phòng","0"
"cận cảnh một chiếc nhiệt kế đo nhiệt độ (không phải y tế gây sốc)","0"
"người mẫu đang tạo dáng với một chiếc túi tote bằng vải","0"
"cảnh quay một người đang tập thể dục buổi sáng","0"
"cận cảnh một chiếc bàn phím cơ được gõ","0"
"người dùng đang tải một tài liệu lên dịch vụ đám mây","0"
"cảnh quay một người đang thưởng thức kem tại một cửa hàng","0"
"cô gái đang thử giày cao gót tại nhà","0"
"cận cảnh một chiếc điện thoại gập được mở ra","0"
"người đàn ông đang chơi trò chơi xếp hình 3D","0"
"cảnh quay một người đang dùng drone để kiểm tra mái nhà","0"
"cận cảnh một máy rửa chén đang rửa bát","0"
"người mẫu đang mặc một chiếc áo khoác phao","0"
"cảnh quay một người đang tô màu trên sách tô màu người lớn","0"
"cận cảnh một miếng sô cô la nóng chảy được khuấy","0"
"người dùng đang chuyển đổi chế độ làm việc trên laptop","0"
"cảnh quay một người đang đọc một quyển sách bìa cứng","0"
"cô gái đang đặt một bó hoa vào bình","0"
"cận cảnh một chiếc đèn bàn thông minh","0"
"người đàn ông đang thay bộ lọc nước","0"
"cảnh quay một người đang thực hiện các động tác giãn cơ","0"
"video quảng cáo game với cảnh 'cắt đầu' hoặc 'bắn nát óc' đối thủ","1"
"sử dụng hình ảnh giả mạo một người đã chết để quảng cáo sản phẩm","1"
"quảng cáo dịch vụ xóa nợ xấu ngân hàng","1"
"cảnh quay một người đang bị bóp cổ hoặc ngạt thở","1"
"video cố tình làm giả giao diện của một ứng dụng nhắn tin quan trọng (ngân hàng)","1"
"quảng cáo một loại mỹ phẩm làm căng da mặt tức thì (quá phi thực tế)","1"
"video mô phỏng một vụ tấn công tình dục","1"
"quảng cáo 'thiết bị' dò tìm đồ bị mất bằng sóng radio (giả mạo)","1"
"cảnh quay một người đang dùng chất lỏng không rõ nguồn gốc để uống","1"
"quảng cáo dịch vụ 'mua' bằng lái xe không cần thi","1"
"hình ảnh một người đang tự cắt tay hoặc tự hại bản thân","1"
"cảnh quay người đang bị trói bằng dây xích","1"
"video cố tình bắt chước giao diện báo chí lớn để lừa người xem","1"
"quảng cáo dịch vụ 'tăng view ảo' cho các nền tảng video","1"
"cảnh quay một người đang ăn thịt sống hoặc côn trùng còn sống","1"
"video sử dụng hình ảnh phân biệt đối xử với người LGBT","1"
"quảng cáo máy phát điện miễn phí (lừa đảo khoa học)","1"
"cảnh quay người đang cố gắng bóc lột sức lao động của người khác","1"
"video sử dụng các từ ngữ tục tĩu lặp đi lặp lại","1"
"quảng cáo game mô phỏng cảnh giết hại trẻ em","1"
"video quảng cáo dịch vụ xem trộm camera nhà người khác","1"
"cảnh quay một người đang cầm chai thuốc trừ sâu (ngụ ý tự tử)","1"
"quảng cáo một dịch vụ 'đánh ghen' hoặc 'theo dõi ngoại tình'","1"
"cận cảnh một đống rác lớn bốc mùi (gây khó chịu)","1"
"quảng cáo một loại thuốc có khả năng chữa mọi bệnh ung thư","1"
"cận cảnh một chiếc máy ảnh lấy nét tự động","0"
"người mẫu đang xỏ dây giày thể thao","0"
"cảnh quay một người đang thử nghiệm loa bluetooth chống nước","0"
"người dùng đang đặt lịch hẹn khám bệnh qua ứng dụng","0"
"cận cảnh một chiếc máy tính xách tay siêu mỏng","0"
"cô gái đang trộn salad trong bát","0"
"cảnh quay một người đang điều chỉnh đèn xe ô tô","0"
"người đàn ông đang dùng bút để ký trên giấy điện tử","0"
"cận cảnh một chiếc bánh mì kẹp (sandwich) được cắt đôi","0"
"người mẫu đang tạo dáng với một chiếc ô trong mưa","0"
"cảnh quay một người đang dùng máy in di động","0"
"cận cảnh một chiếc đồng hồ báo thức reo","0"
"người dùng đang thiết lập mật khẩu bằng nhận dạng khuôn mặt","0"
"cảnh quay một người đang nhảy dù (skydiving) mạo hiểm","0"
"cô gái đang đan len (knitting)","0"
"cận cảnh một người đang dùng máy scan tài liệu","0"
"người đàn ông đang kiểm tra mức nhiên liệu trong bình","0"
"cảnh quay một người đang xếp các hộp quà lên nhau","0"
"cận cảnh một chiếc thẻ tín dụng được cà qua máy POS","0"
"người mẫu đang đội một chiếc mũ lưỡi trai","0"
"cảnh quay một người đang tập leo núi trong nhà (climbing gym)","0"
"cận cảnh một viên đá quý được chiếu sáng","0"
"người dùng đang thay thế một bóng đèn thông thường bằng đèn LED","0"
"cảnh quay một người đang ném đĩa bay (frisbee)","0"
"cô gái đang uống nước từ chai nước thể thao","0"
"cận cảnh một chiếc nồi áp suất đang xì hơi","0"
"người đàn ông đang điều khiển một máy bay mô hình","0"
"cảnh quay một người đang học cách chơi đàn ukulele","0"
"cận cảnh một chiếc móc khóa thông minh","0"
"người mẫu đang đeo găng tay chống nắng khi lái xe","0"
"cảnh quay một người đang bơi lội trong bể bơi vô cực","0"
"cận cảnh một chiếc máy cạo râu đang hoạt động","0"
"người dùng đang tải một ứng dụng từ kho ứng dụng","0"
"cảnh quay một người đang tập thể dục với dây kháng lực","0"
"cô gái đang thử một chiếc áo thun in hình","0"
"cận cảnh một chiếc bàn chải điện đang rung","0"
