s,v,o,label
Ba người bạn,cụng,rượu mạnh trước biển hiệu quảng cáo,1
Chàng trai,giơ,rum thương hiệu ABC trong clip quảng cáo,1
Anh chàng,say,cà phê bên bãi biển,0
Bạn nữ,quảng cáo,vodka có logo khi điều khiển thuyền,1
Nhóm bạn trẻ,giơ,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Cô gái,say,sinh tố dâu ở quán cà phê,0
Một người,nói,phần mềm này có thể kiểm soát camera người khác,1
Đôi bạn trẻ,cầm,sinh tố dâu trong buổi picnic,0
Một người đàn ông,cầm,nước ép cam trong phòng khách,0
Nhóm sinh viên,đưa,trà sữa trong buổi tiệc gia đình,0
Người phụ nữ,mở,nước ép dưa hấu khi xem bóng đá,0
Một cậu thanh niên,cụng,rum thương hiệu ABC trong clip quảng cáo,1
Cặp đôi,uống,whisky trước biển hiệu quảng cáo trong lúc lái ô tô,1
Nhóm bạn,đưa,nước lọc bên bãi biển,0
Đôi bạn trẻ,quảng cáo,bia nhẹ trong buổi picnic,0
Anh nhân viên,uống,tequila có logo trước biển hiệu quảng cáo,1
Cặp đôi,quảng cáo,bourbon thương hiệu lớn trong quán bar với poster thương hiệu,1
Chàng trai,cụng,rượu vang đỏ trước poster thương hiệu trong clip quảng cáo,1
Một cậu thanh niên,nâng,sinh tố dâu bên bãi biển,0
Đôi bạn trẻ,nâng,mojito không cồn khi xem bóng đá,0
Bạn nữ,say,nước khoáng trong buổi tiệc gia đình,0
Ba người bạn,nhấp,nước ép dưa hấu ở quán cà phê,0
Ba người bạn,say,nước ép dưa hấu trước rạp chiếu phim,0
Người đàn ông,say,rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Người mẫu,đeo,khăn tay lụa,0
Người đàn ông,mở,bia không logo trong buổi tiệc gia đình,0
Cô gái,chọn,son môi đỏ cam trong quầy trang điểm,0
Cận cảnh,hiển thị,bình giữ nhiệt có vỏ vải,0
Người đàn ông,ăn,nước táo bên bãi biển,0
Một người đàn ông,quảng cáo,nước táo trong công viên,0
Ánh sáng,phản chiếu,qua lọ hoa,0
Thanh niên,cầm,nước khoáng trong buổi tiệc gia đình,0
Người mẫu,mặc,đồ xuyên thấu bước đi chậm rãi,1
Nhóm bạn,cầm,cà phê trong buổi picnic,0
Anh chàng,mở,bourbon thương hiệu lớn trong clip quảng cáo,1
Bạn nữ,cụng,trà sữa bên bãi biển,0
Cô gái,mở,vodka trong video quảng bá trong khi leo núi,1
Cô gái,cụng,nước táo trước rạp chiếu phim,0
Quảng cáo,giới thiệu,dịch vụ sao chép chìa khóa xe máy thông minh,1
Anh nhân viên,mở,nước ép dưa hấu bên bãi biển,0
Người phụ nữ,đưa,rượu whisky có thương hiệu trước biển hiệu quảng cáo,1
Một người đàn ông,rót,nước táo khi đi dã ngoại,0
Bạn nữ,ăn,cà phê khi đi dã ngoại,0
Bạn nữ,quảng cáo,whisky trước biển hiệu quảng cáo trong lúc lái ô tô,1
Nhóm bạn,cầm,nước ép dưa hấu trong phòng khách,0
Anh nhân viên,say,vodka trong video quảng bá trong khi leo núi,1
Một cậu thanh niên,nâng,trà sữa trước rạp chiếu phim,0
Anh chàng,uống,trà sữa bên bãi biển,0
Một người,nói,viên thuốc này chữa được ung thư xương,1
Chàng trai,uống,nước ngọt ở quán cà phê,0
Anh nhân viên,cầm,rượu gin có thương hiệu trong khi leo núi,1
Cặp đôi,cụng,mojito không cồn ở quán cà phê,0
Cận cảnh,hiển thị,máy ép dầu thực vật,0
Một người đàn ông,cầm,trà sữa ở quán cà phê,0
Video,ghi hình,một người tập thể dục với tạ chuông toàn thân,0
Ba người bạn,say,bia nhẹ trong công viên,0
Bạn nữ,cầm,sinh tố dâu trước rạp chiếu phim,0
Một người đàn ông,cụng,rượu whisky có thương hiệu trước biển hiệu quảng cáo,1
Cô gái,nhấp,rum thương hiệu ABC trước biển hiệu quảng cáo,1
Nhóm bạn trẻ,nâng,tequila có logo trước biển hiệu quảng cáo,1
Ba người bạn,nhấp,nước ngọt ở quán cà phê,0
Cô gái,cầm,vodka có logo trong quán bar với poster thương hiệu,1
Một cậu thanh niên,cụng,nước khoáng khi xem bóng đá,0
Cô gái,đang uống,trà sữa với bạn bè,0
Người đàn ông,nhìn,nước ép dưa hấu khi đi dã ngoại,0
Thanh niên,nhìn,bia nhẹ khi đi dã ngoại,0
Chàng trai,ăn,rượu gin có thương hiệu trong lúc lái ô tô,1
Nhóm sinh viên,ăn,nước lọc khi xem bóng đá,0
Một người,đọc,sách gần cửa sổ,0
Người phụ nữ,nhìn,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Nhóm sinh viên,nhấp,rượu gin có thương hiệu trong clip quảng cáo,1
Người phụ nữ,đang cười,trước gương,0
Người phụ nữ,giơ,nước ngọt khi xem bóng đá,0
Người đàn ông,ăn,nước ép dưa hấu trong phòng khách,0
Thanh niên,đưa,rượu whisky có thương hiệu trong quán bar với poster thương hiệu,1
Cô gái,uống,nước ép dưa hấu trong buổi picnic,0
Cặp đôi,mở,nước chanh khi xem bóng đá,0
Nhóm bạn trẻ,nhìn,trà sữa ở quán cà phê,0
Quảng cáo,giới thiệu,thiết bị giúp tăng cường trí nhớ,1
Người phụ nữ,nhấp,bourbon thương hiệu lớn trên livestream quảng bá,1
Ba người bạn,say,nước ép cam khi xem bóng đá,0
Nhóm bạn trẻ,đưa,rượu mạnh trong quán bar với poster thương hiệu,1
Nam sinh,uống,nước lọc trong lớp học,0
Người,chỉ tay,vào biểu đồ “lợi nhuận mỗi giờ”,1
Cô gái,quảng cáo,rượu mạnh trong clip quảng cáo,1
Thanh niên,nâng,nước ép cam khi đi dã ngoại,0
Nhóm bạn trẻ,nhìn,nước ép cam ở quán cà phê,0
Bạn nữ,nhấp,nước ép cam trước rạp chiếu phim,0
Cô nhân viên,cầm,nước táo khi đi dã ngoại,0
Cô gái,quảng cáo,vodka trong video quảng bá trước biển hiệu quảng cáo,1
Nhóm bạn trẻ,quảng cáo,whisky trước biển hiệu quảng cáo khi điều khiển thuyền,1
Một người đàn ông,ăn,tequila có logo trong khi leo núi,1
Cô gái,ăn,rượu gin có thương hiệu trước biển hiệu quảng cáo,1
Cặp đôi,nhìn,mojito không cồn trước rạp chiếu phim,0
Thanh niên,mở,nước ép dưa hấu khi đi dã ngoại,0
Bức tranh phong cảnh,treo,trên tường trắng,0
Nhóm bạn trẻ,cầm,whisky trước biển hiệu quảng cáo trước biển hiệu quảng cáo,1
Chàng trai,nâng,sinh tố dâu khi xem bóng đá,0
Một người đàn ông,say,vodka có logo trong quán bar với poster thương hiệu,1
Đôi bạn trẻ,uống,bia lon ở quán cà phê,0
Video,ghi hình,một người tập thể dục với máy chạy bộ đa năng,0
Người dùng,kiểm tra,thông tin thời tiết 15 ngày trên app,0
Bạn nữ,nhấp,vodka có logo trước biển hiệu quảng cáo,1
Cô nhân viên,nhấp,nước ngọt bên bãi biển,0
Nhóm bạn,ăn,mojito không cồn trong buổi picnic,0
Nhóm sinh viên,mở,vodka có logo trên livestream quảng bá,1
Nhóm sinh viên,giơ,rượu vang đỏ trước poster thương hiệu khi điều khiển thuyền,1
Nhóm sinh viên,giơ,whisky trước biển hiệu quảng cáo trên livestream quảng bá,1
Một cậu thanh niên,giơ,rượu whisky có thương hiệu trước biển hiệu quảng cáo,1
Anh nhân viên,uống,nước ép cam trong phòng khách,0
Một người đàn ông,rót,rượu mạnh trong khi leo núi,1
Cô gái,chọn,màu sơn móng tay trong cửa hàng mỹ phẩm,0
Cô gái,nâng,nước táo trong buổi picnic,0
Chàng trai,rót,cà phê trong công viên,0
Nhóm bạn,đưa,rum thương hiệu ABC khi điều khiển thuyền,1
Anh chàng,mở,rượu mạnh trong quán bar với poster thương hiệu,1
Anh chàng,cụng,nước ngọt trong buổi picnic,0
Đôi bạn trẻ,rót,bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Ba người bạn,uống,bia nhẹ khi xem bóng đá,0
Ba người bạn,giơ,bia không logo ở quán cà phê,0
Nhóm sinh viên,quảng cáo,nước ngọt trước rạp chiếu phim,0
Anh nhân viên,nhấp,sinh tố dâu khi đi dã ngoại,0
Một người đàn ông,uống,bia lon trước rạp chiếu phim,0
Đôi bạn trẻ,mở,bia lon khi xem bóng đá,0
Ba người bạn,mở,whisky trước biển hiệu quảng cáo trong khi leo núi,1
Nhóm sinh viên,cụng,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Người phụ nữ,nhìn,nước ép dưa hấu khi đi dã ngoại,0
Một cậu thanh niên,say,nước táo trong buổi picnic,0
Người mẫu,tạo dáng,với áo khoác phao dày,0
Bạn nữ,nâng,nước lọc trong công viên,0
Người đàn ông,mở,bia lon trước rạp chiếu phim,0
Một người đàn ông,nhìn,nước ép cam khi xem bóng đá,0
Chàng trai,cầm,whisky trước biển hiệu quảng cáo trên livestream quảng bá,1
Cặp đôi,quảng cáo,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Nhóm bạn,ăn,nước ép dưa hấu trong phòng khách,0
Cô gái,nâng,nước ngọt bên bãi biển,0
Ánh sáng,phản chiếu,lên tường trắng,0
Ba người bạn,nhìn,bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Một người đàn ông,mở,nước ép cam bên bãi biển,0
Ba người bạn,cầm,rượu gin có thương hiệu khi điều khiển thuyền,1
Người phụ nữ,cầm,nước khoáng khi đi dã ngoại,0
Thanh niên,nhìn,sinh tố dâu khi xem bóng đá,0
Đôi bạn trẻ,đưa,rượu gin có thương hiệu khi điều khiển thuyền,1
Đôi bạn trẻ,nhấp,vodka có logo trên livestream quảng bá,1
Một cậu thanh niên,nâng,sinh tố dâu trong phòng khách,0
Người đàn ông,chỉnh,nhạc trong phòng thu,0
Một người đàn ông,rót,cà phê trong công viên,0
Nhóm sinh viên,nâng,nước ép cam khi xem bóng đá,0
Quảng cáo,giới thiệu,ứng dụng cho vay nóng với lãi suất cắt cổ,1
Cảnh quay,ghi lại,cô gái đi bộ trong khu vườn hoa,0
Nhóm sinh viên,rót,nước ép dưa hấu trong buổi picnic,0
Người mẫu,khoe,lưng trần khi ngồi bàn làm việc,1
Một người đàn ông,cụng,vodka có logo trước biển hiệu quảng cáo,1
Đôi bạn trẻ,uống,rượu mạnh trong lúc lái ô tô,1
Nhóm bạn,rót,rượu gin có thương hiệu trên livestream quảng bá,1
Cô gái,say,rượu whisky có thương hiệu trong lúc lái ô tô,1
Một nhóm thanh niên,nhấp,nước khoáng khi đi dã ngoại,0
Người mẫu,nằm,sấp trên ghế đỏ,1
Một cậu thanh niên,mở,vodka trong video quảng bá khi điều khiển thuyền,1
Một cậu thanh niên,mở,nước khoáng khi đi dã ngoại,0
Cô nhân viên,giơ,nước táo trong công viên,0
Anh chàng,uống,nước khoáng bên bãi biển,0
Nhóm sinh viên,đưa,rượu whisky có thương hiệu trong lúc lái ô tô,1
Bạn nữ,cụng,sinh tố dâu trong buổi picnic,0
Người đàn ông,đưa,nước ép cam trong buổi tiệc gia đình,0
Nhóm sinh viên,nâng,vodka trong video quảng bá trước biển hiệu quảng cáo,1
Một người đàn ông,quảng cáo,trà sữa bên bãi biển,0
Cô nhân viên,cầm,bia lon trong buổi picnic,0
Anh nhân viên,uống,nước chanh trong buổi picnic,0
Bạn nữ,uống,nước chanh khi xem bóng đá,0
Cặp đôi,đưa,bia không logo trong công viên,0
Bạn nữ,quảng cáo,vodka trong video quảng bá trong khi leo núi,1
Người phụ nữ,mở,nước chanh trong phòng khách,0
Chàng trai,cụng,trà sữa trước rạp chiếu phim,0
Cô nhân viên,giơ,whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Người,bị đánh,gục trên sàn,1
Anh nhân viên,đưa,nước táo trong buổi tiệc gia đình,0
Anh nhân viên,đưa,bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Người đàn ông,nhìn,nước ép dưa hấu bên bãi biển,0
Thanh niên,rót,vodka trong video quảng bá trong lúc lái ô tô,1
Ba người bạn,uống,mojito không cồn ở quán cà phê,0
Cô nhân viên,ăn,nước khoáng trong phòng khách,0
Ba người bạn,rót,sinh tố dâu bên bãi biển,0
Nhóm sinh viên,cầm,nước chanh khi xem bóng đá,0
Một người,nói,trà thảo mộc này chữa được bệnh ung thư,1
Người đàn ông,cụng,vodka trong video quảng bá trong lúc lái ô tô,1
Đôi bạn trẻ,ăn,cà phê bên bãi biển,0
Cặp đôi,uống,rum thương hiệu ABC trước biển hiệu quảng cáo,1
Cô gái,quảng cáo,bourbon thương hiệu lớn trên livestream quảng bá,1
Người đàn ông,rót,rượu gin có thương hiệu trong clip quảng cáo,1
Cô gái,mở,nước khoáng trong công viên,0
Anh nhân viên,giơ,sinh tố dâu khi đi dã ngoại,0
Nhóm bạn,ăn,tequila có logo trong quán bar với poster thương hiệu,1
Nhóm bạn trẻ,rót,nước lọc bên bãi biển,0
Một người,nói,thuốc này được Bộ Y tế chứng nhận giả mạo,1
Cận cảnh,hiển thị,một người cào xước tai đến chảy máu,1
Video,giới thiệu,công cụ quản lý dự án,0
Nhóm bạn trẻ,nâng,rượu mạnh trong khi leo núi,1
Người phụ nữ,say,bia không logo ở quán cà phê,0
Cô nhân viên,nhấp,nước ngọt khi xem bóng đá,0
Đôi bạn trẻ,quảng cáo,nước lọc ở quán cà phê,0
Ba người bạn,nhìn,nước chanh khi xem bóng đá,0
Người mẫu,khoe,chân dài dưới ánh đèn mờ,1
Thanh niên,quảng cáo,vodka trong video quảng bá trong quán bar với poster thương hiệu,1
Một nhóm thanh niên,đưa,mojito không cồn bên bãi biển,0
Ánh nắng buổi sáng,hắt,qua khung cửa,0
Một người,nói,viên kẹo này giúp đổi màu da tự nhiên,1
Nhóm sinh viên,uống,nước chanh bên bãi biển,0
Một người đàn ông,cầm,vodka trong video quảng bá khi điều khiển thuyền,1
Thanh niên,ăn,trà sữa trong buổi tiệc gia đình,0
Người,bị bóp,cổ trong căn phòng tối,1
Người,đang khoe,phiếu “đầu tư hiệu quả”,1
Nhóm sinh viên,say,nước ngọt trong phòng khách,0
Anh nhân viên,đưa,rượu vang đỏ trước poster thương hiệu trong quán bar với poster thương hiệu,1
Người phụ nữ,đưa,bia không logo bên bãi biển,0
Một người đàn ông,quảng cáo,nước táo khi đi dã ngoại,0
Cô nhân viên,say,sinh tố dâu ở quán cà phê,0
Thanh niên,nâng,vodka trong video quảng bá trước biển hiệu quảng cáo,1
Người phụ nữ,nhấp,cà phê trong buổi picnic,0
Cặp đôi,giơ,nước chanh bên bãi biển,0
Một cậu thanh niên,cụng,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Cô nhân viên,nhìn,rượu gin có thương hiệu trong quán bar với poster thương hiệu,1
Một cậu thanh niên,say,cà phê trong công viên,0
Chàng trai,nâng,vodka trong video quảng bá trong quán bar với poster thương hiệu,1
Anh chàng,giơ,nước táo trong buổi picnic,0
Đôi bạn trẻ,nhấp,nước lọc khi xem bóng đá,0
Đôi bạn trẻ,nâng,nước chanh bên bãi biển,0
Bạn nữ,giơ,bia nhẹ trong phòng khách,0
Nam sinh,nhìn,ra cửa sổ lớp học,0
Ba người bạn,rót,nước ép cam trong công viên,0
Một nhóm thanh niên,mở,trà sữa khi xem bóng đá,0
Cô nhân viên,rót,nước táo trong buổi tiệc gia đình,0
Đôi bạn trẻ,ăn,trà sữa bên bãi biển,0
Một khuôn mặt,bị,bóng tối che phủ một nửa,1
Anh chàng,nhìn,bia nhẹ trong công viên,0
Ba người bạn,giơ,bourbon thương hiệu lớn trước biển hiệu quảng cáo,1
Cô gái,xem,bản đồ du lịch trên điện thoại,0
Quảng cáo,giới thiệu,kem giúp da căng mịn như em bé,1
Cô gái,đang cười,với chai nước suối Lavie,0
Chàng trai,uống,rượu vang đỏ trước poster thương hiệu trong lúc lái ô tô,1
Cô gái,cụng,nước khoáng trong phòng khách,0
Quảng cáo,giới thiệu,dịch vụ đánh ghen hoặc theo dõi ngoại tình,1
Nhóm sinh viên,đưa,sinh tố dâu khi đi dã ngoại,0
Người đàn ông,rót,vodka có logo trong clip quảng cáo,1
Đôi bạn trẻ,cụng,trà sữa trước rạp chiếu phim,0
Chàng trai,say,nước ngọt trước rạp chiếu phim,0
Thanh niên,đưa,nước chanh khi xem bóng đá,0
Chàng trai,mở,bia không logo khi xem bóng đá,0
Một cậu thanh niên,đưa,nước ép dưa hấu trước rạp chiếu phim,0
Thanh niên,nâng,bia không logo ở quán cà phê,0
Người,bị xô,vào bàn,1
Ánh sáng,phản chiếu,lên bàn ăn gỗ,0
Một người đàn ông,nhìn,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Ba người bạn,mở,bia không logo ở quán cà phê,0
Cô nhân viên,đưa,bia không logo bên bãi biển,0
Một nhóm thanh niên,cầm,nước ép cam khi đi dã ngoại,0
Nhóm bạn trẻ,cầm,nước lọc trong buổi picnic,0
Người kỹ sư,kiểm tra,máy móc trong nhà xưởng,0
Đôi bạn trẻ,nhấp,rượu gin có thương hiệu trong lúc lái ô tô,1
Anh nhân viên,say,rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Nhóm bạn trẻ,cụng,sinh tố dâu trong phòng khách,0
Cô gái,cười,khi mở hộp quà sinh nhật,0
Nam sinh,học,tiếng Nhật qua ứng dụng,0
Người đàn ông,nhìn,rượu whisky có thương hiệu trong quán bar với poster thương hiệu,1
Thanh niên,quảng cáo,rượu gin có thương hiệu trước biển hiệu quảng cáo,1
Nhóm bạn trẻ,uống,rum thương hiệu ABC trước biển hiệu quảng cáo,1
Cô gái,say,rượu gin có thương hiệu khi điều khiển thuyền,1
Cặp đôi,mở,rum thương hiệu ABC khi điều khiển thuyền,1
Cận cảnh,hiển thị,máy ép dầu dừa,0
Nhóm bạn trẻ,nâng,cà phê trong công viên,0
Cô gái,đưa,trà sữa ở quán cà phê,0
Thanh niên,cụng,nước ép dưa hấu trước rạp chiếu phim,0
Thanh niên,ăn,bia nhẹ bên bãi biển,0
Một nhóm thanh niên,nhấp,cà phê trong buổi picnic,0
Bàn tay,đang mở,ngăn kéo bàn,0
Anh chàng,say,nước lọc bên bãi biển,0
Người đàn ông,quảng cáo,nước chanh trước rạp chiếu phim,0
Nhóm bạn trẻ,cầm,nước lọc trong phòng khách,0
Cô gái,nâng,rượu mạnh trước biển hiệu quảng cáo,1
Thanh niên,rót,cà phê trong phòng khách,0
Cặp đôi,giơ,vodka trong video quảng bá khi điều khiển thuyền,1
Ba người bạn,uống,bia lon trong công viên,0
Nhóm sinh viên,nhìn,rượu whisky có thương hiệu trong quán bar với poster thương hiệu,1
Nhóm sinh viên,uống,nước ngọt trong buổi picnic,0
Người đàn ông,nâng,whisky trước biển hiệu quảng cáo trong clip quảng cáo,1
Ba người bạn,say,cà phê trong phòng khách,0
Nhóm bạn trẻ,rót,bia không logo trong buổi picnic,0
Anh nhân viên,ăn,nước ép cam trong công viên,0
Người phụ nữ,cụng,trà sữa trong buổi picnic,0
Nhân viên ngân hàng,tư vấn,khách hàng,0
Người mẫu,đứng,cạnh rèm cửa hở vai,1
Thanh niên,nâng,bia lon trong buổi picnic,0
Thanh niên,nhấp,mojito không cồn trước rạp chiếu phim,0
Một người đàn ông,ăn,rượu mạnh trên livestream quảng bá,1
Anh nhân viên,đưa,rượu whisky có thương hiệu trong quán bar với poster thương hiệu,1
Cô gái,nhìn,nước khoáng khi xem bóng đá,0
Chàng trai,say,rum thương hiệu ABC trong lúc lái ô tô,1
Bạn nữ,đưa,bia lon trong phòng khách,0
Cặp đôi,rót,vodka có logo trong lúc lái ô tô,1
Một nhóm thanh niên,đưa,rượu mạnh trong clip quảng cáo,1
Cặp đôi,say,bia lon bên bãi biển,0
Người mẫu,mặc,nội y và tạo dáng khiêu dâm,1
Video,ghi hình,người cố tình phá hỏng đồ và đập vỡ TV,1
Một người đàn ông,ăn,rượu vang đỏ trước poster thương hiệu trong clip quảng cáo,1
Nhóm bạn,cụng,bia không logo trong công viên,0
Anh nhân viên,nhấp,rượu whisky có thương hiệu trong quán bar với poster thương hiệu,1
Chàng trai,ăn,nước táo trong buổi picnic,0
Ánh sáng,chiếu,qua cửa sổ mờ,0
Người,chỉ tay,vào dòng “rút tiền dễ dàng”,1
Cô gái,nâng,trà sữa trong buổi tiệc gia đình,0
Anh nhân viên,nhìn,nước lọc trong công viên,0
Một người đàn ông,nâng,nước ép cam khi xem bóng đá,0
Cặp đôi,giơ,sinh tố dâu trước rạp chiếu phim,0
Một nhóm thanh niên,say,nước chanh trước rạp chiếu phim,0
Người phụ nữ,mở,rượu gin có thương hiệu trên livestream quảng bá,1
Đám đông,nhảy,nhót trong club với tay cầm các chai bia sáng nhãn hiệu rõ ràng,1
Người đàn ông,say,rượu vang đỏ trước poster thương hiệu trên livestream quảng bá,1
Tờ giấy,ghi,“đăng ký ngay để nhận thưởng”,1
Anh chàng,uống,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Người,chỉ tay,vào bảng “chơi là có quà”,1
Bạn nữ,cầm,tequila có logo trong lúc lái ô tô,1
Nhóm sinh viên,nhấp,bia không logo trước rạp chiếu phim,0
Nhóm bạn,cụng,nước lọc bên bãi biển,0
Cô gái,nâng,trà sữa bên bãi biển,0
Người dẫn,nói,sản phẩm chứa năng lượng tâm linh,1
Nhóm bạn trẻ,đưa,rượu whisky có thương hiệu trong khi leo núi,1
Cô nhân viên,đưa,rượu mạnh trước biển hiệu quảng cáo,1
Nhóm bạn trẻ,say,whisky trước biển hiệu quảng cáo trong khi leo núi,1
Người đàn ông,ngồi,xem tin tức buổi sáng,0
Nhóm sinh viên,nâng,nước chanh khi đi dã ngoại,0
Người đàn ông,nâng,cà phê ở quán cà phê,0
Video,ghi hình,một người học làm đồ da dây đồng hồ,0
Cô nhân viên,nhìn,whisky trước biển hiệu quảng cáo trong quán bar với poster thương hiệu,1
Bạn nữ,nâng,whisky trước biển hiệu quảng cáo trong khi leo núi,1
Một người đàn ông,uống,bia lon trong công viên,0
Người mẫu,khoe,vai khi tập thể hình,1
Đôi bạn trẻ,nhấp,nước táo khi xem bóng đá,0
Nhóm bạn trẻ,say,nước chanh bên bãi biển,0
Một dòng chữ nhỏ,hiện lên,đăng ký miễn phí,1
Cặp đôi,mở,vodka trong video quảng bá trong quán bar với poster thương hiệu,1
Nhóm bạn trẻ,ăn,nước chanh khi đi dã ngoại,0
Một người đàn ông,quảng cáo,bia nhẹ trong công viên,0
Cặp đôi,đưa,nước ép dưa hấu trước rạp chiếu phim,0
Cặp đôi,quảng cáo,nước táo trong công viên,0
Ba người bạn,rót,rượu mạnh trên livestream quảng bá,1
Chàng trai,giơ,bia nhẹ trong phòng khách,0
Anh chàng,uống,nước ép cam trong buổi picnic,0
Cô nhân viên,say,rượu mạnh trong khi leo núi,1
Người phụ nữ,nhấp,tequila có logo trước biển hiệu quảng cáo,1
Thanh niên,cầm,nước ép cam bên bãi biển,0
Anh chàng,quảng cáo,sinh tố dâu trong phòng khách,0
Một nhóm thanh niên,quảng cáo,rum thương hiệu ABC trong quán bar với poster thương hiệu,1
Bạn nữ,giơ,bia lon trong công viên,0
Người đàn ông,rót,rượu vang đỏ trước poster thương hiệu trước biển hiệu quảng cáo,1
Bạn nữ,mở,nước ngọt khi đi dã ngoại,0
Cặp đôi,quảng cáo,nước chanh trong công viên,0
Streamer,uống,bia trong buổi phát trực tiếp,0
Người đàn ông,đưa,trà sữa khi xem bóng đá,0
Một cậu thanh niên,nhìn,bia lon trong buổi picnic,0
Bạn nữ,mở,nước chanh trong phòng khách,0
Cặp đôi,quảng cáo,bourbon thương hiệu lớn trong clip quảng cáo,1
Cô gái,uống,sinh tố trái cây,0
Một người,nói,thuốc này được NASA phát triển sai mục đích,1
